1823,0,-0.855697512626648,5.506187438964844,0.0,0.0,5.5722812515279285,98.83347786303838
1823,1,-3.0410172939300537,3.6032636165618896,0.0,-0.4429708421230316,4.7150074095827605,130.16309172934865
1823,2,1.5929138660430908,4.437783241271973,0.0,-0.4429708421230316,4.71500738929927,70.25472489558041
1823,3,1.2308878898620605,3.4291961193084717,0.0,-0.393751859664917,3.643414747471026,70.25472622406427
1823,4,-3.3306381702423096,3.633882999420166,0.0,-0.29531389474868774,4.929326148121054,132.5068377274244
1823,5,-3.3767142295837402,4.699206352233887,0.0,-0.24609491229057312,5.786599980052935,125.69993498376782
1824,0,-0.855697512626648,5.506187438964844,0.0,0.0,5.5722812515279285,98.83347786303838
1824,1,0.26329153776168823,4.278276443481445,0.0,-0.1968759298324585,4.286370464706144,86.47837334877832
1825,0,-0.855697512626648,5.506187438964844,0.0,0.0,5.5722812515279285,98.83347786303838
1825,1,-3.4557013511657715,4.0946173667907715,0.0,-0.34453287720680237,5.357962598681847,130.1630933711951
1825,2,-2.896207094192505,3.159897804260254,0.0,-0.29531389474868774,4.286370220340255,132.50684174471297
1825,3,1.0860776901245117,3.025761365890503,0.0,-0.14765694737434387,3.2147778449376183,70.2547243781412
1826,0,-0.855697512626648,5.506187438964844,0.0,0.0,5.5722812515279285,98.83347786303838
1826,1,1.0005079507827759,3.94722580909729,0.0,-0.4429708421230316,4.072052031541752,75.77672549437766
1826,2,-2.751396656036377,3.0019032955169678,0.0,-0.4429708421230316,4.072051934158476,132.5068372524649
1826,3,-3.4754481315612793,3.7918777465820312,0.0,-0.4429708421230316,5.143644287875748,132.5068357410612
1826,4,0.6450642347335815,2.930298089981079,0.0,-0.393751859664917,3.000459092052278,77.58514668501336
1826,5,-3.126587152481079,2.6088428497314453,0.0,-0.34453287720680237,4.072052091593946,140.15817947358005
1827,0,0.21063323318958282,3.422621011734009,0.0,-0.738284707069397,3.4290962291669547,86.47837315225777
1827,1,-3.3306379318237305,3.337386131286621,0.0,-0.24609491229057312,4.7150074466757035,134.94201532374845
1827,2,-2.7974724769592285,2.3342278003692627,0.0,-0.1968759298324585,3.643414838219926,140.15817722300895
1827,3,0.783292293548584,3.5582194328308105,0.0,-0.1968759298324585,3.643414929610326,77.58514764818328
1827,4,0.47392478585243225,2.5277786254882812,0.0,-0.14765694737434387,2.571822210441596,79.38108278347092
1828,0,-2.6329152584075928,3.3824143409729004,0.0,-0.1968759298324585,4.286370204727382,127.89765352028965
1828,1,0.22379781305789948,3.6365349292755127,0.0,-0.14765694737434387,3.643414847772671,86.47837320916119
1829,0,-0.6318997144699097,2.4929845333099365,0.0,-0.393751859664917,2.57182214246431,104.22327458747844
1829,1,0.31594985723495483,3.4145097732543945,0.0,-0.1968759298324585,3.4290962809370877,84.71338697545576
1829,2,-5.153931617736816,3.473637104034424,0.0,-0.1968759298324585,6.215236588484134,146.02089223280512
1830,0,0.29620298743247986,3.2011029720306396,0.0,-0.1968759298324585,3.2147778223863805,84.71338713944697
1830,1,0.0,3.8577332496643066,0.0,-0.1968759298324585,3.8577332496643066,90.0
1830,2,-2.751396417617798,3.8289830684661865,0.0,-0.1968759298324585,4.7150072731100625,125.69993059701504
