timestamp_s,frame_number,point_index,snr,noise
0.0,1,0,50.1,58.6
0.0,1,1,17.0,79.0
3.63936,2,0,51.400000000000006,57.400000000000006
3.63936,2,1,19.400000000000002,70.3
3.63936,2,2,17.1,78.80000000000001
3.63936,2,3,20.8,72.5
5.53152,3,0,50.900000000000006,57.800000000000004
5.53152,3,1,19.200000000000003,70.0
5.53152,3,2,16.2,77.0
5.53152,3,3,16.8,79.0
7.538573,4,0,50.6,58.2
7.538573,4,1,17.5,67.7
7.538573,4,2,15.4,75.60000000000001
7.538573,4,3,16.900000000000002,79.10000000000001
8.638828,5,0,50.800000000000004,57.900000000000006
8.638828,5,1,24.0,70.0
8.638828,5,2,16.5,75.5
8.638828,5,3,17.400000000000002,78.9
9.618794,6,0,50.900000000000006,57.800000000000004
9.618794,6,1,23.400000000000002,68.7
9.618794,6,2,17.0,79.2
10.637661,7,0,52.2,56.5
10.637661,7,1,20.900000000000002,68.9
10.637661,7,2,17.900000000000002,76.7
10.637661,7,3,16.3,79.9
11.616397,8,0,50.800000000000004,57.900000000000006
11.616397,8,1,17.400000000000002,70.7
11.616397,8,2,18.5,74.9
11.616397,8,3,17.1,79.10000000000001
12.638331,9,0,51.400000000000006,57.300000000000004
12.638331,9,1,21.1,68.5
12.638331,9,2,17.1,79.2
13.641548,10,0,49.7,59.0
13.641548,10,1,17.1,79.0
14.633537,11,0,49.800000000000004,58.900000000000006
14.633537,11,1,15.600000000000001,58.800000000000004
14.633537,11,2,19.1,70.4
14.633537,11,3,17.5,78.7
15.634855,12,0,50.2,58.5
15.634855,12,1,15.200000000000001,59.2
15.634855,12,2,15.600000000000001,77.4
15.634855,12,3,17.1,78.9
16.642035,13,0,52.2,56.5
16.642035,13,1,16.6,57.5
16.642035,13,2,15.100000000000001,67.7
16.642035,13,3,17.5,75.9
16.642035,13,4,17.2,78.80000000000001
17.638523,14,0,51.0,57.7
17.638523,14,1,16.7,79.4
18.625211,15,0,51.0,57.7
18.625211,15,1,17.3,78.7
19.628628,16,0,50.2,58.5
19.628628,16,1,15.0,58.5
19.628628,16,2,16.5,79.4
20.637755,17,0,50.6,58.1
20.637755,17,1,17.6,74.9
20.637755,17,2,17.1,78.80000000000001
21.637355,18,0,51.0,57.7
21.637355,18,1,15.0,58.2
21.637355,18,2,16.7,66.3
21.637355,18,3,17.1,78.9
22.640493,19,0,50.2,58.5
22.640493,19,1,15.200000000000001,79.0
22.640493,19,2,17.2,78.80000000000001
22.640493,19,3,20.3,64.3
23.632061,20,0,50.800000000000004,57.900000000000006
23.632061,20,1,17.5,68.9
23.632061,20,2,16.3,79.7
24.642294,21,0,51.400000000000006,57.300000000000004
24.642294,21,1,15.9,58.400000000000006
24.642294,21,2,16.1,79.80000000000001
26.539968,22,0,50.6,58.1
26.539968,22,1,15.0,58.5
26.539968,22,2,24.6,69.3
26.539968,22,3,16.5,79.5
27.63113,23,0,50.6,58.1
27.63113,23,1,16.5,79.5
28.629124,24,0,50.7,58.0
28.629124,24,1,15.9,57.6
28.629124,24,2,15.9,57.6
28.629124,24,3,17.0,79.0
29.625117,25,0,50.2,58.5
29.625117,25,1,17.0,79.0
31.6381,26,0,50.900000000000006,57.800000000000004
31.6381,26,1,15.8,58.400000000000006
31.6381,26,2,20.8,76.3
31.6381,26,3,16.7,79.4
32.639975,27,0,50.2,58.5
32.639975,27,1,17.5,69.60000000000001
32.639975,27,2,16.3,79.80000000000001
33.624882,28,0,51.1,57.6
33.624882,28,1,15.100000000000001,58.7
33.624882,28,2,15.9,69.60000000000001
33.624882,28,3,15.200000000000001,79.0
33.624882,28,4,17.1,78.9
34.63631,29,0,51.2,57.5
34.63631,29,1,16.0,57.800000000000004
34.63631,29,2,19.3,68.9
34.63631,29,3,17.0,79.10000000000001
35.620306,30,0,50.5,58.2
35.620306,30,1,15.3,58.0
35.620306,30,2,17.3,78.80000000000001
35.620306,30,3,15.700000000000001,63.5
36.628095,31,0,50.5,58.2
36.628095,31,1,16.900000000000002,79.10000000000001
37.631275,32,0,51.0,57.7
37.631275,32,1,20.8,68.4
37.631275,32,2,17.2,78.7
