timestamp_s,frame_number,point_index,x,y,z,doppler,range,aoa,snr,noise
0.0,1,0,-0.11562623083591461,0.04109804704785347,-0.026631442829966545,0.0,0.12556953641577867,160.4328139483195,35.0,53.7
0.0,1,1,-0.8055294156074524,2.113151788711548,-0.7601670622825623,0.0,2.3858210503143353,110.866750732009,15.100000000000001,55.5
0.0,1,2,-1.8500198125839233,1.4454185962677002,1.8895483016967773,0.0,3.013669027918414,141.999524835133,15.200000000000001,62.5
0.0,1,3,-2.570756673812866,2.0957984924316406,1.5031577348709106,0.0,3.6415167681523006,140.81150574089853,11.700000000000001,70.8
0.0,1,4,-1.2294923067092896,2.713557004928589,-2.0941827297210693,0.0,3.641516752222394,114.37492332918029,11.700000000000001,70.8
0.0,1,5,1.4800158739089966,4.954188346862793,3.0974786281585693,0.0,6.027337970871784,73.36699304254974,12.0,69.10000000000001
0.0,1,6,3.7000396251678467,3.850950241088867,-2.7944040298461914,0.0,6.027338124676204,46.144934717051655,12.0,69.10000000000001
0.0,1,7,0.31604504585266113,4.692768096923828,-2.093696355819702,-0.17052115499973297,5.148351319877733,86.14710467620453,27.0,45.0
0.293416,2,0,-0.11562623083591461,0.04107861593365669,-0.026661407202482224,0.0,0.125569536824668,160.44136301589216,35.5,53.2
0.293416,2,1,-0.8055294156074524,2.095177412033081,-0.8083913326263428,0.0,2.3858211529718476,111.0301721384758,15.600000000000001,54.800000000000004
0.293416,2,2,-1.8500198125839233,1.4551167488098145,1.8820900917053223,0.0,3.013669054975222,141.81349213826059,15.8,61.900000000000006
0.293416,2,3,-2.570756673812866,2.095240592956543,1.5039350986480713,0.0,3.6415166894127866,140.81897619819057,11.8,70.60000000000001
0.293416,2,4,-1.2294923067092896,2.7075705528259277,-2.101916790008545,0.0,3.641516692658054,114.42252728494464,11.8,70.60000000000001
0.293416,2,5,1.4800158739089966,5.074268341064453,2.8965766429901123,0.0,6.027337922571413,73.73957737492121,12.3,68.7
0.293416,2,6,3.7000396251678467,3.995481491088867,-2.5835323333740234,0.0,6.027338126489584,47.19858572072556,12.3,68.7
0.293416,2,7,0.30833661556243896,4.459228515625,-2.2909693717956543,0.25578173995018005,5.022781210202711,86.04453728649622,20.400000000000002,42.5
0.293416,2,8,0.6629236936569214,4.315264701843262,-3.1770288944244385,0.8526057600975037,5.399489778358129,81.26633110196144,26.400000000000002,40.5
0.595432,3,0,-0.11562623083591461,0.041080866008996964,-0.026657938957214355,0.0,0.12556953658756545,160.44037300843638,35.4,53.300000000000004
0.595432,3,1,-0.8055294156074524,2.0826828479766846,-0.8400578498840332,0.0,2.385821174316496,111.14521852271373,15.200000000000001,55.2
0.595432,3,2,-1.8500198125839233,1.4581321477890015,1.879754900932312,0.0,3.013669051994241,141.7558427232472,15.4,62.300000000000004
0.595432,3,3,-2.570756673812866,2.1015756130218506,1.4950698614120483,0.0,3.641516692767479,140.73424150182302,11.8,70.60000000000001
0.595432,3,4,-1.2294923067092896,2.705385446548462,-2.1047284603118896,0.0,3.6415166673105324,114.43994664516678,11.8,70.60000000000001
0.595432,3,5,1.4800158739089966,5.142409801483154,2.7738020420074463,0.0,6.027337996301295,73.94386940003199,12.3,68.9
0.595432,3,6,3.7000396251678467,3.937070369720459,-2.671701431274414,0.0,6.0273381240657775,46.77770165601573,12.3,68.9
0.595432,3,7,0.9250098466873169,1.9616683721542358,-4.530402660369873,1.3641692399978638,5.022781528582063,64.75413414733497,18.7,41.0
0.595432,3,8,0.48563018441200256,4.875870227813721,-1.950459361076355,-0.25578173995018005,5.273920635893438,84.31217467521019,26.5,42.1
0.595432,3,9,3.7000396251678467,3.4507977962493896,3.275745153427124,-0.25578173995018005,6.02733813292511,43.00376861012112,12.100000000000001,50.7
0.908423,4,0,-0.11562623083591461,0.0410679429769516,-0.026677845045924187,0.0,0.1255695369664661,160.44605916052745,34.7,54.0
0.908423,4,1,-0.8055294156074524,2.1190078258514404,-0.743687093257904,0.0,2.385821095159258,110.81403102574296,14.8,55.800000000000004
0.908423,4,2,-1.8500198125839233,1.4688605070114136,1.8713836669921875,0.0,3.013669080223641,141.5514738333278,15.200000000000001,62.5
0.908423,4,3,-2.570756673812866,2.1012210845947266,1.4955682754516602,0.0,3.6415167703631797,140.73897812974627,11.700000000000001,70.7
0.908423,4,4,-1.2294923067092896,2.7084171772003174,-2.1008260250091553,0.0,3.641516844031733,114.41578437788012,11.700000000000001,70.7
0.908423,4,5,1.4800158739089966,5.087240219116211,2.8737332820892334,0.0,6.027337970497715,73.7788567394577,12.3,68.8
0.908423,4,6,3.7000396251678467,3.8850343227386475,-2.7468197345733643,0.0,6.027338016978246,46.39712738195791,12.3,68.8
0.908423,4,7,0.4740675687789917,4.565291881561279,-2.3321428298950195,-0.25578173995018005,5.148351212053049,84.07155817443237,32.2,42.5
1.195266,5,0,-0.11562623083591461,0.04105863347649574,-0.026692166924476624,0.0,0.1255695361757841,160.45015560210763,34.800000000000004,53.900000000000006
1.195266,5,1,-0.8055294156074524,2.108844041824341,-0.7720370292663574,0.0,2.385821034089801,110.90569491934035,14.3,55.900000000000006
1.195266,5,2,-1.8500198125839233,1.4827314615249634,1.8604127168655396,0.0,3.0136690878435917,141.28894585349707,15.3,62.400000000000006
1.195266,5,3,-2.570756673812866,2.0984230041503906,1.4994913339614868,0.0,3.641516612748944,140.7763839663983,11.8,70.60000000000001
1.195266,5,4,-1.2294923067092896,2.7124063968658447,-2.095672845840454,0.0,3.6415167816184937,114.3840593736629,11.8,70.60000000000001
1.195266,5,5,1.4800158739089966,4.995123863220215,3.0310213565826416,0.0,6.027337709137819,73.49585822384806,12.8,68.60000000000001
1.195266,5,6,3.7000396251678467,3.9992129802703857,-2.5777523517608643,0.0,6.02733812527421,47.22524860707087,12.8,68.60000000000001
1.195266,5,7,0.46250492334365845,4.3998894691467285,-2.3781075477600098,-0.17052115499973297,5.022781465835292,83.99925418982905,31.0,44.7
1.495876,6,0,-0.11562623083591461,0.04105913266539574,-0.02669140137732029,0.0,0.12556953667207663,160.4499359396979,34.5,54.2
1.495876,6,1,-0.8055294156074524,2.087587594985962,-0.8277938961982727,0.0,2.3858211040921056,111.09991408824297,14.5,55.900000000000006
1.495876,6,2,-1.8500198125839233,1.46073317527771,1.8777344226837158,0.0,3.013669072483126,141.7061887414695,15.4,62.300000000000004
1.495876,6,3,-2.570756673812866,2.0908422470092773,1.5100440979003906,0.0,3.6415167657771397,140.87792712777104,11.9,70.60000000000001
