timestamp_s,frame_number,point_index,x,y,z,doppler_mps,range,azimuth_deg,elevation_deg,snr_db,noise_db
0.0,1,0,-0.11562623083591461,0.035578299313783646,-0.033652160316705704,0.0,0.12556953664548839,162.89681948600855,-15.545064588957784,16.2,70.0
0.0,1,1,-0.8055294752120972,1.0967994928359985,0.23674020171165466,0.0,1.3812649224631948,126.29491522224518,9.868865645911981,12.3,70.10000000000001
0.0,1,2,-0.2967739999294281,0.7671616077423096,-1.109631061553955,0.0,1.3812649391746807,111.14880190799941,-53.45063905832542,12.3,70.10000000000001
0.305876,2,0,-0.11562623083591461,0.035509489476680756,-0.03372475877404213,0.0,0.12556953633179524,162.92797265808395,-15.579451001916347,19.700000000000003,66.5
0.603033,3,0,-0.11562623083591461,0.035496439784765244,-0.03373849391937256,0.0,0.12556953637989277,162.93388198919428,-15.58595731585086,17.3,68.9
0.921149,4,0,-0.11562623083591461,0.03547966107726097,-0.033756136894226074,0.0,0.12556953605671739,162.94148049151778,-15.594315113112504,18.0,68.2
1.214598,5,0,-0.11562623083591461,0.03553103283047676,-0.0337020605802536,0.0,0.12556953626845849,162.9182179357057,-15.568699357233074,15.3,70.9
1.214598,5,1,-0.7207368612289429,1.1647210121154785,0.17848266661167145,0.0,1.3812648990972971,121.74948881398872,7.4243380624953765,14.700000000000001,69.3
1.214598,5,2,-0.21198143064975739,0.5972885489463806,-1.2272746562957764,0.0,1.3812649346264847,109.54009116587575,-62.68723544723969,14.700000000000001,69.3
1.519609,6,0,-0.11562623083591461,0.0355115570127964,-0.03372258320450783,0.0,0.12556953673872598,162.92703644385534,-15.578420404658743,14.8,71.4
1.519609,6,1,-0.76313316822052,1.13003671169281,0.22031225264072418,0.0,1.3812648880194625,124.03183158096867,9.177896769902441,14.4,69.5
1.519609,6,2,-0.25437772274017334,0.6386728286743164,-1.1980324983596802,0.0,1.3812649546843887,111.71695372103098,-60.15149915019645,14.4,69.5
1.814117,7,0,-0.11562623083591461,0.03545993193984032,-0.033776864409446716,0.0,0.12556953691016173,162.95041593371673,-15.604134390752526,17.5,68.7
2.110697,8,0,-0.11562623083591461,0.03553265333175659,-0.033700354397296906,0.0,0.1255695368973638,162.91748422213274,-15.56789111734374,14.600000000000001,71.60000000000001
2.110697,8,1,-0.76313316822052,1.1364916563034058,0.18413913249969482,0.0,1.3812649048619483,123.88063161635033,7.661020059623158,16.1,68.60000000000001
2.110697,8,2,-0.25437772274017334,0.5356817245483398,-1.2474894523620605,0.0,1.3812649527140526,115.40151330214597,-64.57526141809666,16.1,68.60000000000001
2.418126,9,0,-0.11562623083591461,0.03547319769859314,-0.03376292809844017,0.0,0.1255695358200552,162.9444076995067,-15.59753233475183,18.1,68.10000000000001
2.418126,9,1,-0.76313316822052,1.1389570236206055,0.16821837425231934,0.08526057749986649,1.3812649114232542,123.82319493019712,6.995174133585805,19.900000000000002,64.60000000000001
2.418126,9,2,-0.25437772274017334,0.4720313549041748,-1.2729380130767822,0.08526057749986649,1.3812649314939598,118.32022991630461,-67.15730325801007,19.900000000000002,64.60000000000001
2.418126,9,3,0.7014658451080322,1.586201786994934,0.287020206451416,0.25578173995018005,1.7579735606175826,66.14355316044212,9.396613314161662,30.5,41.800000000000004
2.719191,10,0,-0.11562623083591461,0.03549126908183098,-0.03374393284320831,0.0,0.12556953628203815,162.93622355762793,-15.588533796245116,28.3,57.900000000000006
2.719191,10,1,2.867530584335327,0.9229030013084412,-0.08786048740148544,0.0,3.0136690374307955,17.840559081717352,-1.6706374993157054,11.5,63.7
2.719191,10,2,-0.7862583994865417,1.2808619737625122,0.10835372656583786,0.34104230999946594,1.5068344954422304,121.54372467717963,4.123594167458207,43.900000000000006,40.900000000000006
3.018492,11,0,-0.11562623083591461,0.035610754042863846,-0.033617813140153885,0.0,0.12556953619866507,162.8821294503917,-15.52879805269885,29.1,57.1
3.018492,11,1,-2.960031747817993,0.5660138726234436,-0.006395999807864428,0.0,3.0136689534363548,169.1746461379507,-0.12160063879920599,12.600000000000001,62.300000000000004
3.018492,11,2,0.5935479998588562,1.3598960638046265,0.9427908658981323,0.17052115499973297,1.7579735917552106,66.42038111657314,32.43171674429113,31.200000000000003,42.0
3.018492,11,3,-0.8517799377441406,1.3914669752120972,0.05507667735219002,0.596824049949646,1.6324040081540698,121.47268754550137,1.9335043082674606,45.1,40.300000000000004
3.018492,11,4,-0.25052350759506226,0.4395347833633423,1.552027702331543,0.596824049949646,1.6324040071160455,119.68202651004022,71.94547310651885,45.1,40.300000000000004
3.32848,12,0,-0.11562623083591461,0.03555258363485336,-0.03367932513356209,0.0,0.12556953612196567,162.9084608608425,-15.557930640673964,28.900000000000002,57.300000000000004
3.32848,12,1,2.867530584335327,0.9221091270446777,-0.09583413600921631,0.0,3.0136690388797231,17.826184485751007,-1.8223027484341405,12.8,62.400000000000006
3.32848,12,2,-0.9712603688240051,1.4413583278656006,0.2638382315635681,0.5115634799003601,1.7579735907544953,123.97408893420263,8.631613965677213,41.300000000000004,41.0
3.32848,12,3,-0.3237534463405609,0.7868489623069763,-1.5383509397506714,0.5115634799003601,1.7579736054141226,112.36499257980476,-61.05332696782005,41.300000000000004,41.0
3.616068,13,0,-0.11562623083591461,0.03554581105709076,-0.033686473965644836,0.0,0.12556953639025939,162.9115270190724,-15.561316618712643,29.200000000000003,57.0
3.616068,13,1,-2.960031747817993,0.5641251802444458,-0.04664146900177002,0.0,3.0136689588783496,169.20991911897767,-0.8867815461764841,12.8,62.400000000000006
3.616068,13,2,1.3875149488449097,4.120851039886475,1.236261010169983,0.0,4.5205035462288974,71.39131590396423,15.871369540254465,12.3,66.3
3.616068,13,3,2.2893993854522705,1.1109493970870972,-1.0751805305480957,0.5115634799003601,2.762529869932107,25.885351926087168,-22.904818149887035,14.0,53.6
3.616068,13,4,-1.0406360626220703,1.5660654306411743,0.11067930608987808,0.6820846199989319,1.8835430063248966,123.60367202088624,3.368711074464613,38.400000000000006,39.0
3.616068,13,5,-0.34687870740890503,0.6754332780838013,1.7237167358398438,0.6820846199989319,1.8835430274382021,117.18343307143482,66.22645956903916,38.400000000000006,39.0
3.92954,14,0,-0.11562623083591461,0.03549378737807274,-0.03374128416180611,0.0,0.12556953634002077,162.93508313223336,-15.58727908023478,29.200000000000003,57.0
3.92954,14,1,-2.960031747817993,0.5636386275291443,-0.05219341814517975,0.0,3.0136689604916893,169.2190072582644,-0.9923492370125695,12.9,62.300000000000004
3.92954,14,2,1.3875149488449097,4.0952982902526855,1.3184409141540527,0.0,4.5205035409266117,71.28326975978716,16.95724273971396,11.8,67.4
3.92954,14,3,3.05253267288208,0.810073733329773,-3.2343122959136963,0.0,4.5205034232861694,14.862439360964759,-45.68223335774597,11.8,67.4
3.92954,14,4,0.6475068926811218,2.9248874187469482,-1.84055757522583,0.25578173995018005,3.5159470667424637,77.51727287247564,-31.566540072680823,12.600000000000001,48.800000000000004
3.92954,14,5,-1.950229287147522,2.098155975341797,0.36805570125579834,0.5115634799003601,2.8880993349497723,132.90736174262418,7.321611064827429,12.4,53.300000000000004
3.92954,14,6,-0.327607661485672,1.0831049680709839,1.8100897073745728,0.6820846199989319,2.134682154436,106.82903490409355,57.988685072310965,32.7,40.900000000000006
3.92954,14,7,-1.1138660907745361,1.799201488494873,-0.2811487317085266,0.6820846199989319,2.1346822418619653,121.76119967201063,-7.568139886672534,32.7,40.900000000000006
3.92954,14,8,3.9312920570373535,3.2911367416381836,6.828122138977051,0.6820846199989319,8.5387288418519489,39.93486187730253,53.098118963104,12.9,46.5
3.92954,14,9,1.0483444929122925,7.453884124755859,-4.031187057495117,0.6820846199989319,8.5387284658562077,81.994200515013,-28.171104723842753,12.9,46.5
3.92954,14,10,-1.2140754461288452,2.329603910446167,0.229185089468956,1.4494298696517944,2.6369602525813542,117.52631868354689,4.986016270217104,20.900000000000002,40.5
4.212065,15,0,-0.11562623083591461,0.035598065704107285,-0.03363125026226044,0.0,0.12556953664562492,162.8878723172534,-15.535161574229505,29.0,57.2
4.212065,15,1,-2.960031747817993,0.5644845366477966,-0.04206906631588936,0.0,3.0136689510537837,169.203207185567,-0.7998417467987292,13.0,62.2
4.212065,15,2,1.3875149488449097,4.125164031982422,1.2217916250228882,0.0,4.5205033789397433,71.40943419343665,15.680797138889906,11.3,67.8
4.212065,15,3,3.05253267288208,0.9220405220985413,-3.204190492630005,0.0,4.5205034184772916,16.807337559216133,-45.13839992458378,11.3,67.8
4.212065,15,4,0.5935479998588562,2.165926456451416,-1.6087369918823242,0.34104230999946594,2.7625298825430336,74.67495920018781,-35.61543087823388,18.900000000000002,40.5
4.212065,15,5,0.4162544310092926,1.5583374500274658,-1.5833680629730225,0.596824049949646,2.2602517077387456,75.0446333892157,-44.469325985444314,35.800000000000004,40.6
4.212065,15,6,2.3125245571136475,2.058534622192383,0.5191177129745483,0.596824049949646,3.1392384136829006,41.674443152936156,9.518393419963239,12.4,53.6
4.522529,16,0,-0.11562623083591461,0.03555648401379585,-0.03367520868778229,0.0,0.12556953648440858,162.90669508283057,-15.55598088390306,29.1,57.1
4.522529,16,1,-2.960031747817993,0.5613608956336975,-0.07270888984203339,0.0,3.0136689575829609,169.2615594692899,-1.3824732695601922,12.9,62.300000000000004
4.522529,16,2,1.3875149488449097,4.138504505157471,1.175812005996704,0.0,4.520503417311259,71.46526085136942,15.076377420283372,11.3,67.60000000000001
4.522529,16,3,3.05253267288208,0.9021492600440979,-3.2098476886749268,0.0,4.5205034222863389,16.46458260233919,-45.24013982241201,11.3,67.60000000000001
4.522529,16,4,0.34687870740890503,3.486814498901367,-1.3830173015594482,0.42630288004875183,3.7670860149212473,84.31873795924788,-21.538840137040783,12.4,49.0
4.522529,16,5,0.30833661556243896,2.207051992416382,-1.1579868793487549,0.6820846199989319,2.5113907657848644,82.04695699859302,-27.457715281291485,29.700000000000003,39.6
4.522529,16,6,3.353160858154297,0.9425780773162842,1.4348504543304443,0.7673451900482178,3.7670860089447924,15.700745357689378,22.38890550947323,11.600000000000001,52.400000000000006
4.522529,16,7,-0.3237534463405609,1.949112892150879,1.7463395595550537,0.9378663301467896,2.6369602229903077,99.43089497643132,41.47206405011451,27.700000000000003,40.300000000000004
4.522529,16,8,-0.25437772274017334,1.8058801889419556,2.0750083923339844,1.1083874702453613,2.7625298389150434,98.01797661240678,48.688022551761264,29.5,39.5
4.522529,16,9,-1.2718884944915771,2.38140869140625,-0.5854606032371521,1.1083874702453613,2.7625299665104248,118.10626535766556,-12.235428846887864,29.5,39.5
4.825061,17,0,-0.11562623083591461,0.03551015630364418,-0.03372405469417572,0.0,0.12556953580803429,162.92767070688276,-15.579117552404378,29.0,57.2
4.825061,17,1,2.867530584335327,0.9232789278030396,-0.0838177278637886,0.0,3.0136690332761957,17.847365132662883,-1.5937454830681361,12.8,62.400000000000006
4.825061,17,2,-3.345452308654785,1.2334129810333252,-1.5618609189987183,0.42630288004875183,3.8926556823794045,159.7619029742488,-23.655265873745716,18.400000000000002,47.6
4.825061,17,3,0.3584413230419159,3.3209848403930664,-1.998836636543274,0.42630288004875183,3.8926556991046906,83.83978535209629,-30.896523961949214,18.400000000000002,47.6
