timestamp_s,frame_number,point_index,x,y,z,doppler,range,azimuth_deg,elevation_deg,snr,noise
0.0,1,0,-0.11562623083591461,0.04160771518945694,-0.025827914476394653,0.0,0.1255695360619252,160.20890079364,-11.8696685804959,33.0,55.6
0.315993,2,0,-0.11562623083591461,0.04163854196667671,-0.025778191164135933,0.0,0.1255695368078008,160.195377725278,-11.846485663893,33.0,55.6
0.599862,3,0,-0.11562623083591461,0.04159094765782356,-0.025854909792542458,0.0,0.12556953669093687,160.216257327052,-11.8822555593761,33.0,55.6
0.911977,4,0,-0.11562623083591461,0.04159969836473465,-0.025840824469923973,0.0,0.1255695359975601,160.212417984986,-11.8756880248639,33.4,55.2
1.201323,5,0,-0.11562623083591461,0.04162148758769035,-0.02580571360886097,0.0,0.12556953588030428,160.202858843949,-11.8593174898546,33.0,55.6
1.496595,6,0,-0.11562623083591461,0.041639380156993866,-0.025776837021112442,0.0,0.12556953676744953,160.195010060647,-11.8458543437907,32.7,55.900000000000006
1.496595,6,1,0.11177203059196472,3.6388914585113525,0.08136777579784393,-0.42630288004875183,3.641516819759016,88.240658503193,1.28035057892261,26.400000000000002,42.1
1.822711,7,0,-0.11562623083591461,0.041602183133363724,-0.025836825370788574,0.0,0.1255695362897497,160.211327835179,-11.8738233550313,32.7,55.900000000000006
2.102252,8,0,-0.11562623083591461,0.04162145033478737,-0.025805773213505745,0.0,0.12556953578172642,160.202875186175,-11.8593452893151,32.6,56.0
2.102252,8,1,0.7862583994865417,1.6551705598831177,3.8561224937438965,-0.34104230999946594,4.269364418719088,64.5908024018402,64.5829517790413,16.6,42.800000000000004
2.102252,8,2,-0.9173015356063843,4.135492324829102,-0.5326644778251648,-0.34104230999946594,4.269364158968288,102.50640403074,-7.16714795434108,16.6,42.800000000000004
2.400036,9,0,-0.11562623083591461,0.04163315147161484,-0.02578689344227314,0.0,0.1255695362426006,160.19774225797,-11.8505428994056,32.800000000000004,55.800000000000004
2.687201,10,0,-0.11562623083591461,0.04161754995584488,-0.025812065228819847,0.0,0.1255695362459554,160.204586235818,-11.8622788442148,33.4,55.2
3.004058,11,0,-0.11562623083591461,0.041630182415246964,-0.02579168789088726,0.0,0.12556953655050213,160.199044660172,-11.8527781664298,33.5,55.1
3.313514,12,0,-0.11562623083591461,0.04160209372639656,-0.025836970657110214,0.0,0.1255695365623226,160.211367060701,-11.8738910706514,33.6,55.0
3.58561,13,0,-0.11562623083591461,0.04160059615969658,-0.02583938278257847,0.0,0.1255695367545289,160.212024091055,-11.8750157417498,33.300000000000004,55.300000000000004
3.901078,14,0,-0.11562623083591461,0.04162723198533058,-0.025796450674533844,0.0,0.12556953678135632,160.200338912837,-11.8549986959131,33.1,55.5
3.901078,14,1,0.11177203059196472,3.6124536991119385,-0.44534173607826233,0.25578173995018005,3.6415167138080498,88.2277909351205,-7.02461095921429,18.6,40.5
3.901078,14,2,-0.7631331086158752,4.072239875793457,-0.07431057840585709,-0.25578173995018005,4.143794373461484,100.614057062389,-1.02753910330507,15.9,45.400000000000006
4.206017,15,0,-0.11562623083591461,0.041562631726264954,-0.025900399312376976,0.0,0.1255695357078058,160.228682111403,-11.9034672563688,32.9,55.7
4.206017,15,1,-0.10791782289743423,3.513209819793701,0.08714476972818375,0.6820846199989319,3.515947056666922,91.7594429065025,1.42025428606901,24.1,40.0
4.206017,15,2,-3.8002490997314453,1.9365708827972412,-0.1878085434436798,-0.25578173995018005,4.26936436171688,152.997040619318,-2.52124426515037,11.5,45.1
4.500657,16,0,-0.11562623083591461,0.04158668592572212,-0.02586176060140133,0.0,0.12556953597512838,160.218127214136,-11.8854500303373,33.300000000000004,55.300000000000004
4.500657,16,1,-0.10791782289743423,3.498356342315674,0.33427566289901733,-0.6820846199989319,3.515947037872698,91.7669085024046,5.45558739604266,23.200000000000003,41.2
4.803852,17,0,-0.11562623083591461,0.041619300842285156,-0.025809243321418762,0.0,0.12556953651560973,160.203818138305,-11.8609631238088,33.1,55.5
5.114384,18,0,-0.11562623083591461,0.041592009365558624,-0.025853203609585762,0.0,0.12556953705920726,160.215791496628,-11.8814599691023,33.6,55.0
5.405688,19,0,-0.11562623083591461,0.041555631905794144,-0.02591163106262684,0.0,0.12556953621295155,160.231753870388,-11.9087047879835,32.7,55.900000000000006
5.69765,20,0,-0.11562623083591461,0.04157300293445587,-0.025883754715323448,0.0,0.12556953686492403,160.224131090625,-11.8957056363917,33.2,55.400000000000006
5.69765,20,1,0.0,3.51534104347229,0.06527770310640335,-0.34104230999946594,3.515947074465669,90,1.06382482761025,22.8,40.6
6.005092,21,0,-0.11562623083591461,0.04163025692105293,-0.02579157054424286,0.0,0.12556953714883137,160.199011977296,-11.85272339886,33.2,55.400000000000006
6.302494,22,0,-0.11562623083591461,0.04161999374628067,-0.025808125734329224,0.0,0.12556953647553057,160.203514169847,-11.8604420622503,32.9,55.7
6.60042,23,0,-0.11562623083591461,0.04161853343248367,-0.025810478255152702,0.0,0.12556953599560158,160.204154792898,-11.8615389520673,33.1,55.5
6.897593,24,0,-0.11562623083591461,0.041638050228357315,-0.025778984650969505,0.0,0.12556953664712767,160.195593422652,-11.8468556166877,32.9,55.7
7.191515,25,0,-0.11562623083591461,0.04159440100193024,-0.025849351659417152,0.0,0.12556953624682143,160.214742162288,-11.8796639774939,32.800000000000004,55.800000000000004
7.191515,25,1,0.11177203059196472,3.624479293823242,-0.3336170017719269,-0.25578173995018005,3.641516640363925,88.2336671847431,-5.25651505836029,16.8,40.2
7.501747,26,0,-0.11562623083591461,0.041624512523412704,-0.025800833478569984,0.0,0.125569535749404,160.201531866388,-11.8570422045111,32.800000000000004,55.800000000000004
7.501747,26,1,0.0,3.6381614208221436,-0.15628519654273987,0.34104230999946594,3.64151666021412,90,-2.459753500449,16.8,41.400000000000006
7.501747,26,2,-1.0175107717514038,3.995849847793579,-0.4109607934951782,-0.9378663301467896,4.143794511137382,104.286284933243,-5.69166492322859,19.200000000000003,40.2
7.801275,27,0,-0.11562623083591461,0.04165567830204964,-0.02575048990547657,0.0,0.12556953660221937,160.187861363941,-11.8335711870217,32.9,55.7
7.801275,27,1,0.0,3.507784605026245,-0.23943951725959778,0.25578173995018005,3.515947115313972,90,-3.90492224104102,21.6,40.7
8.098435,28,0,-0.11562623083591461,0.04160274937748909,-0.02583591267466545,0.0,0.1255695361017923,160.211079407327,-11.8733978161737,33.9,54.7
8.402659,29,0,-0.11562623083591461,0.04163140431046486,-0.025789717212319374,0.0,0.12556953689519207,160.198508662707,-11.8518593496624,33.300000000000004,55.300000000000004
8.402659,29,1,0.0,3.51244854927063,-0.1568087637424469,-0.34104230999946594,3.515947070087914,90,-2.55619932380193,20.1,41.5
8.705221,30,0,-0.11562623083591461,0.041641708463430405,-0.025773074477910995,0.0,0.12556953654894762,160.193988778923,-11.8441002122371,33.4,55.2
8.705221,30,1,0.0,3.50766658782959,-0.24116119742393494,0.42630288004875183,3.515947043759195,90,-3.93304453356338,22.1,41.7
8.998641,31,0,-0.11562623083591461,0.041613172739744186,-0.025819122791290283,0.0,0.12556953653056033,160.20650651203,-11.8655693837949,33.5,55.1
9.320057,32,0,-0.11562623083591461,0.04164673015475273,-0.025764958932995796,0.0,0.1255695365075541,160.191786123138,-11.8403166692469,33.2,55.400000000000006
9.611841,33,0,-0.11562623083591461,0.04160225763916969,-0.025836708024144173,0.0,0.12556953682928412,160.21129514726,-11.8737685887758,33.5,55.1
9.902349,34,0,-0.11562623083591461,0.04161800444126129,-0.02581133134663105,0.0,0.12556953602239132,160.204386856602,-11.8619366975988,33.5,55.1
9.902349,34,1,-0.1503141075372696,4.723515033721924,1.2839387655258179,0.25578173995018005,4.897212202706935,91.8226804614107,15.1993055552192,13.3,46.300000000000004
9.902349,34,2,-0.12333464622497559,3.8718602657318115,-1.0675302743911743,-0.25578173995018005,4.018225259869579,91.8244888913575,-15.4068918899299,12.4,41.900000000000006
10.208335,35,0,-0.11562623083591461,0.04162227362394333,-0.02580445073544979,0.0,0.12556953689770808,160.20251402376,-11.858728592096,33.300000000000004,55.300000000000004
10.208335,35,1,0.0,3.5152828693389893,-0.06834419816732407,0.25578173995018005,3.515947181186215,90,-1.11380534135526,17.8,40.900000000000006
10.208335,35,2,-0.10791782289743423,3.514080286026001,-0.03845258057117462,0.596824049949646,3.5159472570116983,91.7590073520355,-0.626634684626835,24.3,40.7
10.494994,36,0,-0.11562623083591461,0.041606418788433075,-0.02583000250160694,0.0,0.12556953599879117,160.209469548252,-11.8706421441546,32.9,55.7
10.494994,36,1,-0.10791782289743423,3.5090856552124023,0.1911967396736145,-0.34104230999946594,3.5159471818242944,91.7615094457583,3.1172745365262,16.5,40.5
10.796418,37,0,-0.11562623083591461,0.04163675755262375,-0.025781072676181793,0.0,0.1255695366924269,160.196160448084,-11.8478290885583,32.800000000000004,55.800000000000004
10.796418,37,1,0.0,3.5036187171936035,-0.2941776514053345,0.25578173995018005,3.5159471847648267,90,-4.79952205317796,23.6,41.300000000000004
11.086749,38,0,-0.11562623083591461,0.04162177816033363,-0.025805244222283363,0.0,0.12556953573188015,160.202731374701,-11.8590986578059,33.2,55.400000000000006
11.086749,38,1,-0.10406360775232315,3.38016939163208,0.24142195284366608,-0.34104230999946594,3.390377399331771,91.7633799270137,4.08337298844447,19.5,40.7
11.395727,39,0,-0.11562623083591461,0.041622381657361984,-0.025804271921515465,0.0,0.12556953596135817,160.202466631529,-11.8586453119609,32.9,55.7
11.395727,39,1,-3.9312920570373535,1.6093446016311646,-0.4271126985549927,-0.42630288004875183,4.269364418949416,157.737384627007,-5.74154780058767,20.8,41.800000000000004
11.688638,40,0,-0.11562623083591461,0.0416223481297493,-0.02580433152616024,0.0,0.12556953709664714,160.20248133946,-11.8586729931342,32.7,55.900000000000006
11.688638,40,1,-0.10791782289743423,3.509495496749878,0.1835208684206009,0.5115634799003601,3.515947213391072,91.7613038649316,2.99201071706338,21.0,40.900000000000006
12.012609,41,0,-0.11562623083591461,0.04163499176502228,-0.025783924385905266,0.0,0.12556953672500254,160.196935008086,-11.8491586111806,33.4,55.2
12.305604,42,0,-0.11562623083591461,0.04163030907511711,-0.025791482999920845,0.0,0.12556953645827157,160.198989099291,-11.852682649396,33.2,55.400000000000006
12.305604,42,1,-0.7631331086158752,4.055132865905762,-0.38021120429039,0.25578173995018005,4.143794789982095,100.657809913212,-5.26454170550643,15.700000000000001,45.400000000000006
12.305604,42,2,-3.9312920570373535,1.6043161153793335,-0.4456286132335663,0.6820846199989319,4.269364390248658,157.800180603691,-5.99134377510231,19.3,42.6
12.605224,43,0,-0.11562623083591461,0.041629526764154434,-0.025792745873332024,0.0,0.12556953649517844,160.199332270056,-11.8532714330949,33.6,55.0
