frame_number,point_index,x,y,z,doppler,range,aoa
1,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
1,1,-0.8162038326263428,6.59354829788208,0.0,0.0,6.6438744609525555,97.05664638515897
1,2,-1.7772178649902344,6.179051876068115,0.0,-0.14765694737434387,6.429555616586682,106.04628481315987
2,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
2,1,-0.8162038326263428,6.59354829788208,0.0,0.0,6.6438744609525555,97.05664638515897
3,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
3,1,-0.8162038326263428,6.59354829788208,0.0,0.0,6.6438744609525555,97.05664638515897
4,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
4,1,-0.8162038326263428,6.59354829788208,0.0,0.0,6.6438744609525555,97.05664638515897
5,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
5,1,-0.8162038326263428,6.59354829788208,0.0,0.0,6.6438744609525555,97.05664638515897
5,2,-1.1058244705200195,5.8981499671936035,0.0,0.24609491229057312,6.000918329314838,100.6189172165092
6,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
6,1,-0.8162038326263428,6.59354829788208,0.0,0.0,6.6438744609525555,97.05664638515897
7,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
7,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
7,2,-1.8825345039367676,5.24465274810791,0.0,-0.1968759298324585,5.572281274913203,109.7452750774758
7,3,0.21063323318958282,6.854957580566406,0.0,-0.14765694737434387,6.858192895383501,88.2400183893472
8,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
8,1,-0.8162038326263428,6.59354829788208,0.0,0.0,6.6438744609525555,97.05664638515897
8,2,0.9478495717048645,7.6570234298706055,0.0,0.0,7.7154667140859665,82.94335354756144
8,3,-0.9215204119682312,5.9297404289245605,0.0,-0.14765694737434387,6.000918381722628,98.83347783147106
9,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
9,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
10,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
10,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
11,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
11,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
12,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
12,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
13,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
13,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
14,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
14,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
15,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
15,1,-0.8162038326263428,6.59354829788208,0.0,0.0,6.6438744609525555,97.05664638515897
15,2,0.9478495717048645,7.6570234298706055,0.0,0.0,7.7154667140859665,82.94335354756144
16,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
16,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
17,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
17,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
17,2,0.9478495717048645,7.6570234298706055,0.0,0.0,7.7154667140859665,82.94335354756144
17,3,0.6516465544700623,7.042426109313965,0.0,0.14765694737434387,7.07251078027455,84.71338696335957
17,4,-1.954939842224121,5.446370601654053,0.0,0.24609491229057312,5.786600255528008,109.74527514333843
18,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
18,1,-0.8162038326263428,6.59354829788208,0.0,0.0,6.6438744609525555,97.05664638515897
19,0,2.481522798538208,1.2667378187179565,0.0,0.0,2.7861407180964903,27.04285420831238
19,1,-0.6121528148651123,6.615612983703613,0.0,0.0,6.643874337981951,95.2866124998326
