frame_number,point_index,x,y,z,doppler,range,aoa
354,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
355,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
355,1,2.488105297088623,5.224372863769531,0.0,0.0,5.786600019795037,64.53389531460152
355,2,-0.7108871936798096,5.742767810821533,0.0,0.0,5.786600274007692,97.05664630885184
356,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
357,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
357,1,-0.7108871936798096,5.742767810821533,0.0,0.0,5.786600274007692,97.05664630885184
357,2,2.3103833198547363,5.305362224578857,0.0,0.0,5.786599987786551,66.46779994241484
358,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
358,1,-0.7108871936798096,5.742767810821533,0.0,0.0,5.786600274007692,97.05664630885184
358,2,2.488105297088623,5.224372863769531,0.0,0.0,5.786600019795037,64.53389531460152
359,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
359,1,-0.7108871936798096,5.742767810821533,0.0,0.0,5.786600274007692,97.05664630885184
359,2,2.3103833198547363,5.305362224578857,0.0,0.0,5.786599987786551,66.46779994241484
360,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
360,1,-0.7108871936798096,5.742767810821533,0.0,0.0,5.786600274007692,97.05664630885184
360,2,2.3103833198547363,5.305362224578857,0.0,0.0,5.786599987786551,66.46779994241484
361,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
362,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
362,1,-0.7108871936798096,5.742767810821533,0.0,0.0,5.786600274007692,97.05664630885184
362,2,2.3103833198547363,5.305362224578857,0.0,0.0,5.786599987786551,66.46779994241484
363,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
