timestamp_s,frame_number,point_index,x,y,z,doppler_mps,azimuth_deg,elevation_deg,snr_db,noise_db
0.0,1,0,-0.11562623083591461,0.04896959289908409,-0.0005120339919812977,0.0,157.04655069153665,-0.23363523397055969,30.0,56.6
0.0,1,1,-0.16573092341423035,5.251097202301025,-1.2461950778961182,0.0,91.80772342451918,-13.344097334643974,11.600000000000001,71.4
0.0,1,2,1.449182152748108,3.895332098007202,4.190122604370117,0.0,69.59326640865947,45.23308379953018,12.200000000000001,69.2
0.0,1,3,3.622955322265625,3.8913376331329346,-2.5617480278015137,0.0,47.045520472709526,-25.72578154294338,12.200000000000001,69.2
0.285364,2,0,-0.11562623083591461,0.04896987974643707,-0.0004840402107220143,0.0,157.04643016904524,-0.2208619262981015,30.0,56.6
0.285364,2,1,-0.16573092341423035,5.25131893157959,-1.2452610731124878,0.0,91.80764714667636,-13.333911120043044,11.700000000000001,71.3
0.285364,2,2,1.449182152748108,3.885977029800415,4.198800086975098,0.0,69.54820308308126,45.35283534780434,12.3,69.2
0.285364,2,3,3.622955322265625,3.8923959732055664,-2.5601398944854736,0.0,47.05329094967375,-25.70845249943462,12.3,69.2
0.61119,3,0,-0.11562623083591461,0.04896901547908783,-0.0005646400386467576,0.0,157.04679330239784,-0.2576389228383395,30.0,56.6
0.61119,3,1,-0.16573092341423035,5.250152111053467,-1.2501715421676636,0.0,91.80804862075708,-13.387467156725936,11.700000000000001,71.3
0.61119,3,2,1.449182152748108,3.896505832672119,4.18903112411499,0.0,69.59890686443136,45.218039058591124,12.3,69.2
0.61119,3,3,3.622955322265625,3.884042739868164,-2.5727951526641846,0.0,46.99189873833429,-25.844888689381992,12.3,69.2
0.891591,4,0,-0.11562623083591461,0.04896952584385872,-0.000518238521181047,0.0,157.0465788656565,-0.23646630672534322,30.200000000000003,56.400000000000006
0.891591,4,1,-0.16573092341423035,5.249958038330078,-1.2509870529174805,0.0,91.80811541367298,-13.396362240862965,11.700000000000001,71.3
0.891591,4,2,1.449182152748108,3.9231598377227783,4.164079189300537,0.0,69.72619534672192,44.8751820328153,12.3,69.2
0.891591,4,3,3.622955322265625,3.8551039695739746,-2.6159579753875732,0.0,46.77811739213654,-26.311420032650233,12.3,69.2
1.193392,5,0,-0.11562623083591461,0.04896901920437813,-0.0005641401512548327,0.0,157.0467917371637,-0.25741082991509817,29.8,56.800000000000004
1.193392,5,1,-0.16573092341423035,5.249392509460449,-1.2533572912216187,0.0,91.80831007669428,-13.422218931538517,11.600000000000001,71.4
1.193392,5,2,1.449182152748108,3.927156448364258,4.1603102684021,0.0,69.74515043957886,44.823571472127064,12.3,69.2
1.193392,5,3,3.622955322265625,3.860469102859497,-2.608034133911133,0.0,46.81788038580767,-26.2256339579549,12.3,69.2
1.502034,6,0,-0.11562623083591461,0.04896851256489754,-0.0006067189387977123,0.0,157.04700460934075,-0.27683919740713425,29.900000000000002,56.7
