timestamp_s,frame_number,point_index,x,y,z,doppler_mps,azimuth_deg,elevation_deg,snr_db,noise_db
0.0,1,0,-0.11562623083591461,0.03563685715198517,-0.03359014168381691,0.0,162.87031604161237,-15.515693948231005,29.3,57.0
0.0,1,1,-2.960031747817993,0.5660496950149536,0.0006302138208411634,0.0,169.173977203634,0.011981605432925093,12.9,62.1
0.368481,2,0,-0.11562623083591461,0.03556694835424423,-0.03366415575146675,0.0,162.90195783611688,-15.550745888792314,29.200000000000003,57.0
0.368481,2,1,-2.960031747817993,0.5660499930381775,-0.00024135848798323423,0.0,169.1739716384692,-0.004588699989631358,12.8,62.2
0.898511,4,0,-0.11562623083591461,0.03553987666964531,-0.03369273617863655,0.0,162.91421378520633,-15.564282686441905,29.400000000000002,56.900000000000006
0.898511,4,1,-2.960031747817993,0.5660482048988342,-0.0014396822080016136,0.0,169.17400502946117,-0.02737119392796023,12.9,62.1
1.254015,5,0,-0.11562623083591461,0.03561314195394516,-0.03361528366804123,0.0,162.88104869799807,-15.527600156278144,29.3,57.0
1.254015,5,1,-2.960031747817993,0.5660349726676941,-0.004127794411033392,0.0,169.17425212303326,-0.07847752219742954,12.8,62.2
1.816472,7,0,-0.11562623083591461,0.03560253977775574,-0.03362651541829109,0.0,162.8858472670737,-15.532919163907493,29.200000000000003,57.1
1.816472,7,1,-2.960031747817993,0.566044807434082,-0.002427699277177453,0.0,169.17406847236649,-0.04615534740699458,12.8,62.2
1.816472,7,2,0.17343935370445251,5.249119281768799,-2.0847721099853516,-0.25578173995018005,88.10754367648896,-21.650575676579194,17.400000000000002,41.2
2.099413,8,0,-0.11562623083591461,0.0356537289917469,-0.0335722342133522,0.0,162.86268120047353,-15.507214089626062,29.400000000000002,56.900000000000006
2.099413,8,1,-2.960031747817993,0.5660486221313477,-0.0012731306487694383,0.0,169.17399723822905,-0.024204720570356764,12.8,62.2
2.099413,8,2,-3.4071197509765625,3.2234766483306885,4.542754173278809,-0.25578173995018005,136.58647652527256,44.0842518371298,22.0,50.400000000000006
2.099413,8,3,1.2025128602981567,4.752286434173584,4.313423156738281,-0.25578173995018005,75.8000053941596,41.34516836184067,22.0,50.400000000000006
2.407227,9,0,-0.11562623083591461,0.03559122979640961,-0.03363848477602005,0.0,162.89096646321119,-15.538587780278425,29.1,57.2
2.407227,9,1,-2.960031747817993,0.5660032033920288,-0.0072788638062775135,0.0,169.17484537187684,-0.1383856647112357,12.9,62.1
2.407227,9,2,-0.3545871376991272,5.673763751983643,1.0233012437820435,-0.42630288004875183,93.57610204240035,10.20427918049652,31.900000000000002,41.0
2.407227,9,3,-3.3415982723236084,2.246018648147583,4.980053424835205,-0.42630288004875183,146.09341160446832,51.04515393838497,19.700000000000003,52.6
2.407227,9,4,-5.896938323974609,1.9140006303787231,-1.6045347452163696,-0.42630288004875183,162.01784905423003,-14.51006896397923,19.700000000000003,52.6
2.407227,9,5,-5.272556304931641,3.528247833251953,3.31374454498291,-0.34104230999946594,146.21066412919805,27.579406987975382,12.4,53.6
2.715042,10,0,-0.11562623083591461,0.03555667772889137,-0.03367500379681587,0.0,162.9066073850815,-15.55588385197598,29.3,57.0
2.715042,10,1,-2.960031747817993,0.5660382509231567,-0.0036549579817801714,0.0,169.1741909061193,-0.06948796323662702,12.9,62.1
2.715042,10,2,0.34687870740890503,5.403375148773193,-1.6164220571517944,-0.7673451900482178,86.32684200128347,-16.622253366326518,26.5,40.800000000000004
2.715042,10,3,-3.276076555252075,1.5893620252609253,5.1147356033325195,-0.6820846199989319,154.1200328310626,54.55236920186033,13.5,50.1
2.715042,10,4,1.3489726781845093,3.5396504402160645,5.0070366859436035,-0.6820846199989319,69.13798814285474,52.89129615376515,13.5,50.1
2.715042,10,5,-0.17343935370445251,5.473971843719482,1.3910999298095703,-0.5115634799003601,91.81477360312725,14.251872599718714,27.900000000000002,40.900000000000006
2.715042,10,6,0.9442809224128723,4.4897780418396,4.09981632232666,-0.5115634799003601,78.12277414155889,41.78381174470206,15.5,48.1
3.01575,11,0,-0.11562623083591461,0.035627931356430054,-0.0335996113717556,0.0,162.8743553942877,-15.520178229657024,29.200000000000003,57.0
