timestamp_s,frame_number,point_index,x,y,z,doppler,range,aoa,snr,noise
0.0,1,0,0.10791782289743423,1.7382004261016846,-0.2397581934928894,0.0,1.7579735405136145,86.44729730236854,19.900000000000002,70.4
0.281906,2,0,0.10791782289743423,1.738057017326355,-0.24079591035842896,0.0,1.7579735841080355,86.44700491629429,19.700000000000003,70.60000000000001
0.58497,3,0,0.10791782289743423,1.7373695373535156,-0.24570702016353607,0.0,1.7579735793181124,86.44560259393,19.900000000000002,70.5
0.896608,4,0,0.10791782289743423,1.737557291984558,-0.24437586963176727,0.0,1.7579735962425362,86.44598568574514,19.900000000000002,70.5
1.185371,5,0,-0.1194804385304451,0.008522836491465569,-0.03767618164420128,0.0,0.12556953689718928,175.91986070497575,14.200000000000001,74.7
1.185371,5,1,0.10791782289743423,1.737493634223938,-0.24482811987400055,0.0,1.7579736043947496,86.44585580861855,19.900000000000002,70.5
1.486324,6,0,-0.1194804385304451,0.02211698517203331,-0.0316697396337986,0.0,0.12556953704223012,169.51270599793676,14.200000000000001,74.60000000000001
1.486324,6,1,0.10791782289743423,1.7370516061782837,-0.24794462323188782,0.0,1.7579735706816186,86.4449537036673,19.700000000000003,70.60000000000001
1.798451,7,0,-0.1194804385304451,0.02432774379849434,-0.03000490367412567,0.0,0.12556953672864374,168.49117109603148,13.9,74.9
1.798451,7,1,0.10791782289743423,1.736940860748291,-0.24871870875358582,0.0,1.7579734942029095,86.44472761920625,19.700000000000003,70.7
2.080498,8,0,-0.12333464622497559,0.022842517122626305,0.005873056128621101,0.0,0.1255695358605235,169.50727981890844,15.8,73.7
2.080498,8,1,0.10791782289743423,1.737936019897461,-0.2416675090789795,0.0,1.7579735637091896,86.44675818575212,19.700000000000003,70.7
2.397884,9,0,-0.11562623083591461,0.044400207698345184,-0.020661672577261925,0.0,0.12556953617285674,158.99332498408586,19.700000000000003,68.60000000000001
2.397884,9,1,0.05395891144871712,1.7558189630508423,-0.06825921684503555,0.0,1.757973582229825,88.23977001983681,20.6,68.2
2.397884,9,2,0.06166732311248779,0.14753392338752747,-0.19365359842777252,0.25578173995018005,0.2511390719780611,67.31568631940887,22.900000000000002,60.0
2.397884,9,3,1.0406360626220703,0.7464982271194458,1.3811413049697876,0.34104230999946594,1.8835430237230284,35.65369100866557,11.9,54.6
2.397884,9,4,0.40469181537628174,1.5518343448638916,-0.9878101348876953,0.34104230999946594,1.8835429811710007,75.38377684124194,11.9,54.6
2.693928,10,0,-0.11562623083591461,0.04439320042729378,-0.02067672833800316,0.0,0.12556953689594333,158.99635112127618,14.100000000000001,74.10000000000001
2.693928,10,1,0.25437772274017334,0.6645801663398743,0.24751314520835876,0.0,0.7534172684308116,69.05492605309834,15.3,69.7
2.693928,10,2,0.5087554454803467,0.3917897343635559,-0.3940891623497009,0.0,0.7534172596510255,37.59966755924732,15.3,69.7
2.693928,10,3,0.015416830778121948,0.24945124983787537,-0.024641932919621468,0.42630288004875183,0.25113906421529586,86.46344821532308,32.300000000000004,56.7
2.693928,10,4,0.24666929244995117,1.7614878416061401,-0.9342635273933411,0.5115634799003601,2.009112613713195,82.02844378570566,14.200000000000001,52.2
2.693928,10,5,0.9866771697998047,1.4215611219406128,1.0208650827407837,0.5115634799003601,2.0091125846941864,55.23625774874368,14.200000000000001,52.2
2.992378,11,0,0.05395891144871712,1.7285211086273193,-0.315870463848114,0.0,1.7579735313782658,88.2119893039399,19.400000000000002,70.2
2.992378,11,1,2.91378116607666,1.7838127613067627,0.8305272459983826,0.0,3.515947120980288,31.4749100239709,12.600000000000001,61.2
2.992378,11,2,-0.07708415389060974,0.40273627638816833,0.2900772988796234,0.25578173995018005,0.5022781245737631,100.83542552015106,22.8,56.0
3.277079,12,0,0.16187672317028046,1.7425341606140137,-0.1668582409620285,0.0,1.7579735626533395,84.69260909023572,18.900000000000002,70.9
3.58122,13,0,0.0,1.6310447454452515,-0.06660088896751404,0.0,1.632403945123825,90.0,18.2,70.5
3.58122,13,1,0.0,1.7524417638778687,-0.13935065269470215,0.0,1.757973475394272,90.0,18.0,70.7
3.880708,14,0,0.05395891144871712,1.7493491172790527,-0.1653403341770172,0.0,1.7579736415417324,88.23326405018553,19.5,70.0
4.184325,15,0,0.10791782289743423,1.7247196435928345,-0.3227485716342926,0.0,1.7579734770427828,86.41960056337575,19.400000000000002,70.4
4.4827,16,0,0.05395891144871712,1.7368756532669067,-0.2661246955394745,0.0,1.7579735358110635,88.22058427071839,20.0,69.7
4.796511,17,0,0.05395891144871712,1.7312698364257812,-0.30044040083885193,0.0,1.7579736189996402,88.21482628057186,20.0,70.0
4.796511,17,1,2.91378116607666,1.7965773344039917,0.8025416135787964,0.0,3.5159470763654666,31.65712693890348,11.8,62.2
4.796511,17,2,4.914114952087402,2.8460869789123535,2.9602489471435547,0.0,6.404046430416315,30.077952400873308,12.100000000000001,45.1
5.093947,18,0,0.05395891144871712,1.7364012002944946,-0.2692032754421234,0.0,1.7579735765982547,88.22009837719169,19.6,70.5
5.093947,18,1,2.91378116607666,1.8034157752990723,0.7870544791221619,0.0,3.5159470837154068,31.754454234483724,11.3,62.5
5.093947,18,2,2.7750298976898193,3.1591670513153076,-1.6594650745391846,0.0,4.520503481339658,48.70374839323098,11.3,54.2
5.093947,18,3,-1.3875149488449097,3.076826810836792,3.0071401596069336,0.0,4.52050361095675,114.27330200402776,11.3,54.2
5.093947,18,4,4.810051441192627,2.4887752532958984,3.647641181945801,0.0,6.529615863170228,27.35755873811976,12.200000000000001,44.7
5.397016,19,0,0.05395891144871712,1.738142490386963,-0.25772103667259216,0.0,1.757973553201788,88.2218803567863,19.1,70.7
5.397016,19,1,4.810051441192627,3.2413456439971924,2.9988276958465576,0.0,6.529615915209348,33.97481755344954,11.5,44.5
5.68407,20,0,0.05395891144871712,1.7375556230545044,-0.261648565530777,0.0,1.757973571808567,88.22128017450147,19.3,70.60000000000001
5.987206,21,0,0.05395891144871712,1.7390881776809692,-0.25125986337661743,0.0,1.757973484674465,88.22284664853947,19.6,70.3
6.293607,22,0,0.05395891144871712,1.7390692234039307,-0.2513920068740845,0.0,1.7579736258077538,88.22282729160086,19.400000000000002,70.4
6.593699,23,0,0.05395891144871712,1.7388077974319458,-0.2531929612159729,0.0,1.7579734913087224,88.22256026892937,19.400000000000002,70.3
6.593699,23,1,2.91378116607666,1.789673924446106,0.8178204894065857,0.0,3.5159470690723738,31.55866775434633,11.5,62.300000000000004
6.893878,24,0,0.05395891144871712,1.7411922216415405,-0.23623962700366974,0.0,1.7579735715296085,88.22499277306855,18.900000000000002,70.7
6.893878,24,1,2.91378116607666,1.8071401119232178,0.7784652709960938,0.0,3.5159471335689823,31.80737450799867,11.4,62.300000000000004
6.893878,24,2,2.7750298976898193,3.080009937286377,-1.8021374940872192,0.0,4.52050347798231,47.98175446760309,11.4,54.5
6.893878,24,3,-1.2487634420394897,3.3125393390655518,2.8111605644226074,0.0,4.520503370864354,110.65547538344313,11.4,54.5
7.192298,25,0,0.05395891144871712,1.7409522533416748,-0.2380019873380661,0.0,1.7579736228160692,88.22474826726459,19.0,70.60000000000001
7.192298,25,1,-1.2487634420394897,3.382713556289673,2.7263145446777344,0.0,4.5205035266662055,110.26214258191128,11.5,54.400000000000006
7.192298,25,2,2.7750298976898193,3.087151050567627,-1.789876937866211,0.0,4.520503511202983,48.047731710853704,11.5,54.400000000000006
7.192298,25,3,4.810051441192627,1.6602245569229126,4.091814041137695,0.0,6.529615807502058,19.042489970715504,11.3,44.800000000000004
7.491426,26,0,0.05395891144871712,1.7409679889678955,-0.23788611590862274,0.0,1.757973522803384,88.2247643024951,19.3,70.3
7.491426,26,1,-1.2487634420394897,3.3607778549194336,2.753309488296509,0.0,4.52050340809901,110.38354398873356,11.600000000000001,54.400000000000006
7.491426,26,2,2.7750298976898193,3.0284855365753174,-1.887441873550415,0.0,4.5205035565022795,47.50067678764231,11.600000000000001,54.400000000000006
7.791745,27,0,0.10791782289743423,1.7341623306274414,-0.26740556955337524,0.0,1.7579735447651896,86.43904589435158,18.900000000000002,70.7
7.791745,27,1,-1.2487634420394897,3.2745957374572754,2.85526967048645,0.0,4.52050354154794,110.87429445022028,11.5,54.6
7.791745,27,2,1.2487634420394897,3.937239408493042,1.8367600440979004,0.0,4.520503484520223,72.40267702926639,11.5,54.6
8.080612,28,0,0.05395891144871712,1.7401882410049438,-0.2435251772403717,0.0,1.7579736033873108,88.2239693597072,19.400000000000002,70.2
8.080612,28,1,-1.2487634420394897,3.2208263874053955,2.915787935256958,0.0,4.520503515690618,111.19207052088865,11.5,54.6
8.080612,28,2,1.3875149488449097,4.065736770629883,1.4069609642028809,0.0,4.520503553378838,71.15675434550633,11.5,54.6
8.379568,29,0,0.05395891144871712,1.7410115003585815,-0.23756779730319977,0.0,1.7579735682942061,88.22480864082965,19.3,70.3
8.379568,29,1,-1.3875149488449097,3.367957830429077,2.677053451538086,0.0,4.520503607255347,112.39044409777821,11.700000000000001,54.400000000000006
8.379568,29,2,1.3875149488449097,4.069859027862549,1.3949916362762451,0.0,4.520503501295299,71.17449531647601,11.700000000000001,54.400000000000006
8.379568,29,3,4.810051441192627,2.041515350341797,3.915546417236328,0.0,6.529615879830352,22.997675000413196,12.0,44.6
8.680714,30,0,0.05395891144871712,1.741208553314209,-0.23611877858638763,0.0,1.7579735117061404,88.2250094111059,19.400000000000002,70.3
8.680714,30,1,-1.2487634420394897,3.3028244972229004,2.82256817817688,0.0,4.52050339166854,110.71108159581075,11.3,54.800000000000004
8.680714,30,2,2.91378116607666,2.9980781078338623,-1.7194066047668457,0.0,4.520503522504057,45.81692264185639,11.3,54.800000000000004
8.984842,31,0,0.05395891144871712,1.740852952003479,-0.23872700333595276,0.0,1.757973591026248,88.22464706856121,19.1,70.5
8.984842,31,1,-1.2487634420394897,3.283545970916748,2.8449723720550537,0.0,4.520503520079869,110.82228057906919,11.4,54.800000000000004
8.984842,31,2,2.91378116607666,2.9445855617523193,-1.8094878196716309,0.0,4.520503399379684,45.301269223782654,11.4,54.800000000000004
9.281208,32,0,0.10791782289743423,1.7331291437149048,-0.27402225136756897,0.0,1.757973571910975,86.43692853576361,18.8,70.8
9.281208,32,1,-1.2487634420394897,3.311089277267456,2.812868595123291,0.0,4.520503519481068,110.66375717101131,11.5,54.6
9.281208,32,2,2.91378116607666,2.8506343364715576,-1.954153060913086,0.0,4.520503400013065,44.372373121058764,11.5,54.6
9.589535,33,0,0.05395891144871712,1.7311904430389404,-0.3008968234062195,0.0,1.7579734959691649,88.21474446445829,19.1,70.60000000000001
9.589535,33,1,4.914114952087402,2.504183530807495,3.254589080810547,0.0,6.404046455423923,27.00293326526376,12.200000000000001,45.0
9.891202,34,0,0.05395891144871712,1.719106912612915,-0.363635778427124,0.0,1.7579735835531032,88.20220418416837,16.6,70.0
9.891202,34,1,2.91378116607666,1.831743836402893,0.7186639308929443,0.0,3.515947100220586,32.15545574428633,13.0,59.900000000000006
9.891202,34,2,-0.25052350759506226,0.5746440291404724,0.03485527262091637,0.42630288004875183,0.6278476551791905,113.5554180556107,17.7,47.900000000000006
9.891202,34,3,-0.7168826460838318,0.20892322063446045,0.10033905506134033,-0.34104230999946594,0.7534172591247393,163.75213746659276,11.5,57.6
9.891202,34,4,-0.2081272155046463,0.4589103162288666,0.5601088404655457,-0.34104230999946594,0.7534172345670451,114.395471147227,11.5,57.6
9.891202,34,5,-0.057813119143247604,0.29206499457359314,0.23079225420951843,-0.25578173995018005,0.3767086173735017,101.19673284290452,23.6,59.5
9.891202,34,6,-0.19656459987163544,0.3002295196056366,-0.11460363119840622,-0.25578173995018005,0.3767086389362312,123.21334771219436,23.6,59.5
9.891202,34,7,0.7207368612289429,1.7308735847473145,-1.0205307006835938,-0.25578173995018005,2.13468215445483,67.39312392328338,14.600000000000001,50.400000000000006
9.891202,34,8,0.0,2.09794282913208,0.3943403363227844,-0.25578173995018005,2.134682274990328,90.0,14.600000000000001,50.400000000000006
10.193684,35,0,-0.11562623083591461,0.04500119015574455,-0.019317762926220894,0.0,0.12556953586450564,158.73424433920482,15.5,72.60000000000001
10.193684,35,1,0.5087554454803467,0.34209221601486206,-0.4379251003265381,0.0,0.75341726888881,33.91727831012958,12.9,69.60000000000001
10.193684,35,2,0.23125247657299042,0.6907593607902527,0.19238342344760895,0.0,0.7534172708784436,71.4904801675268,12.9,69.60000000000001
10.193684,35,3,-0.37000396847724915,0.22970536351203918,0.2502315640449524,0.08526057749986649,0.5022781364537923,148.16721843350965,14.700000000000001,68.8
10.193684,35,4,-0.16958513855934143,0.4133935272693634,-0.22941231727600098,0.08526057749986649,0.502278148963641,112.30475702596607,14.700000000000001,68.8
10.193684,35,5,0.07708415389060974,0.5368856191635132,-0.3162350058555603,-0.596824049949646,0.6278476835778614,81.82951035442906,25.8,43.7
10.193684,35,6,0.015416830778121948,0.24505265057086945,-0.05274799466133118,-0.25578173995018005,0.251139067378697,86.40013395551598,23.700000000000003,57.900000000000006
10.193684,35,7,0.25052350759506226,0.3587511479854584,-0.45025357604026794,-0.25578173995018005,0.6278476700408044,55.07258917525134,16.400000000000002,55.1
10.477635,36,0,-0.11562623083591461,0.045070912688970566,-0.019154533743858337,0.0,0.12556953687452074,158.70424600683353,13.600000000000001,74.5
10.477635,36,1,0.25437772274017334,0.6715272068977356,0.2279929667711258,0.0,0.7534172869847429,69.25307235627957,13.3,72.2
10.477635,36,2,0.5087554454803467,0.38999903202056885,-0.39586135745048523,0.0,0.7534172566416484,37.472859261770516,13.3,72.2
10.477635,36,3,0.2697945535182953,1.5209227800369263,-0.8393305540084839,0.0,1.7579735444071896,79.94101159077847,11.9,68.5
10.477635,36,4,0.8633425831794739,1.3171716928482056,0.7811334729194641,0.0,1.757973602443119,56.757089541052196,11.9,68.5
