Feature,Importance
doppler_median,1.6679002611972589
temporal_point_density,1.106674099778741
y_max,0.5480348261448396
x_median,0.524344846433753
x_kurtosis,0.4813356553244521
range_min,0.4369941729187592
y_kurtosis,0.4002116800933342
doppler_std,0.35221297135517293
y_std,0.347508608879624
range_max,0.33056553579712133
y_range,0.3086866178926737
point_count_normalized,0.29147860184979457
point_count,0.29006640818444973
x_range,0.2850017939446916
x_max,0.2816261965888316
doppler_mean,0.27036523430731485
temporal_variance,0.25988620038978993
doppler_range,0.24082108891396414
y_min,0.22951105499363544
x_skew,0.2201446627490924
z_median,0.21544988693480116
z_mean,0.20376059736791374
x_mean,0.19025148006622672
doppler_max,0.1853749906101818
range_std,0.14973319933536233
rd_max,0.13965233178407166
doppler_min,0.13411447423521272
y_median,0.12307998759673522
rd_std,0.10992223804553136
rd_energy,0.0979517153173366
z_min,0.07672023893711843
x_min,0.07490058093464391
y_mean,0.06697114811992888
rd_mean,0.03119795214852239
range_mean,0.021487960158843133
rd_entropy,0.01562313170998042
rd_median,0.0
rd_min,0.0
snr_feature_0,0.0
snr_feature_1,0.0
snr_feature_2,0.0
snr_feature_3,0.0
snr_feature_4,0.0
x_std,0.0
y_skew,0.0
z_kurtosis,0.0
z_max,0.0
z_range,0.0
z_skew,0.0
z_std,0.0
