,precision,recall,f1-score,support
Approaching,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
Sitting,0.375,0.5,0.42857142857142855,6.0
Splitting,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
Standing,0.6,0.6,0.6,5.0
Walking_togather,0.0,0.0,0.0,5.0
accuracy,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715
macro avg,0.3283333333333333,0.35333333333333333,0.339047619047619,28.0
weighted avg,0.33035714285714285,0.35714285714285715,0.34183673469387754,28.0
