,precision,recall,f1-score,support
Approaching,0.21428571428571427,0.5,0.3,6.0
Sitting,0.1111111111111111,0.16666666666666666,0.13333333333333333,6.0
Splitting,0.0,0.0,0.0,6.0
Standing,0.5,0.4,0.4444444444444444,5.0
Walking_togather,0.0,0.0,0.0,5.0
accuracy,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427
macro avg,0.16507936507936508,0.21333333333333332,0.17555555555555555,28.0
weighted avg,0.15901360544217688,0.21428571428571427,0.17222222222222222,28.0
