,precision,recall,f1-score,support
Approaching,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Sitting,0.375,0.5,0.42857142857142855,6.0
Splitting,1.0,0.16666666666666666,0.2857142857142857,6.0
Standing,0.625,1.0,0.7692307692307693,5.0
Walking_togather,0.5,0.8,0.6153846153846154,5.0
accuracy,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857
macro avg,0.6333333333333333,0.5599999999999999,0.5086691086691086,28.0
weighted avg,0.6383928571428571,0.5357142857142857,0.49555206698063836,28.0
