,precision,recall,f1-score,support
Approaching,0.5,0.5,0.5,6.0
Sitting,0.5,0.5,0.5,6.0
Splitting,0.5,0.5,0.5,6.0
Standing,0.6666666666666666,0.8,0.7272727272727273,5.0
Walking_togather,0.25,0.2,0.2222222222222222,5.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.4833333333333333,0.5,0.48989898989898994,28.0
weighted avg,0.48511904761904756,0.5,0.49098124098124096,28.0
