frame_number,point_index,x,y,z,doppler,range
1,0,1.9351927042007446,4.063400745391846,0.0,0.0,4.5006884384550325
2,0,-0.19746865332126617,0.08329800516366959,0.0,0.0,0.2143185169525982
2,1,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
3,0,-0.19746865332126617,0.08329800516366959,0.0,0.0,0.2143185169525982
3,1,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
4,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
5,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
6,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
7,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
8,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
9,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
10,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
11,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
12,0,-0.19746865332126617,0.08329800516366959,0.0,0.0,0.2143185169525982
12,1,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
13,0,1.6587365865707397,4.183872699737549,0.0,0.0,4.500688595230458
14,0,1.6587365865707397,4.183872699737549,0.0,0.0,4.500688595230458
15,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
16,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
17,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
18,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
19,0,1.7969646453857422,4.126392364501953,0.0,0.0,4.500688378746781
20,0,1.6587365865707397,4.183872699737549,0.0,0.0,4.500688595230458
21,0,1.5205086469650269,4.23606538772583,0.0,0.0,4.5006884489580266
22,0,1.5929138660430908,4.437783241271973,0.0,0.0,4.71500738929927
23,0,1.3822804689407349,4.2831645011901855,0.0,0.0,4.500688551663044
23,1,2.725067615509033,4.107585906982422,0.0,0.0,4.929326068778235
24,0,-0.19746865332126617,0.08329800516366959,0.0,0.0,0.2143185169525982
24,1,3.245068311691284,1.6565033197402954,0.0,-0.09843796491622925,3.643414826210919
24,2,1.6587365865707397,4.183872699737549,0.0,-0.049218982458114624,4.500688595230458
25,0,-0.2764561176300049,2.9876959323883057,0.0,0.049218982458114624,3.000459126431267
25,1,-1.8430408239364624,5.710886001586914,0.0,0.049218982458114624,6.000918129904604
25,2,-2.3169655799865723,4.106453895568848,0.0,0.09843796491622925,4.715007221126504
25,3,-1.3822805881500244,1.6378470659255981,0.0,0.14765694737434387,2.14318516132822
25,4,-0.9215204119682312,0.5469102263450623,0.0,0.1968759298324585,1.0715925836599027
25,5,3.3569672107696533,1.4160658121109009,0.0,-0.14765694737434387,3.6434147771578096
25,6,1.6587365865707397,4.183872699737549,0.0,-0.049218982458114624,4.500688595230458
25,7,2.6526622772216797,6.091341972351074,0.0,-0.049218982458114624,6.643874184624569
26,0,1.8825345039367676,4.322887897491455,0.0,0.049218982458114624,4.715007522029052
26,1,-0.11848119646310806,0.6319446563720703,0.0,0.09843796491622925,0.642955552610399
26,2,-0.18430407345294952,2.99479341506958,0.0,0.09843796491622925,3.000459229923891
26,3,-1.4744325876235962,5.816964149475098,0.0,0.14765694737434387,6.0009185440001565
26,4,-2.3169655799865723,4.106453895568848,0.0,0.1968759298324585,4.715007221126504
26,5,3.264815330505371,1.0486571788787842,0.0,-0.14765694737434387,3.4290962396988665
26,6,2.580256938934326,1.5313488245010376,0.0,-0.09843796491622925,3.0004591470672364
27,0,2.349876880645752,3.8385252952575684,0.0,0.09843796491622925,4.50068859137417
27,1,0.0,3.0004591941833496,0.0,0.1968759298324585,3.0004591941833496
27,2,-2.0273449420928955,4.256896495819092,0.0,0.1968759298324585,4.715007453901479
27,3,3.264815330505371,1.0486571788787842,0.0,-0.049218982458114624,3.4290962396988665
28,0,-1.5270909070968628,0.7795310616493225,0.0,0.09843796491622925,1.7145481371527715
28,1,0.09215203672647476,2.9990437030792236,0.0,0.1968759298324585,3.0004591533383653
28,2,-2.0273449420928955,4.256896495819092,0.0,0.1968759298324585,4.715007453901479
28,3,2.0273449420928955,4.256896495819092,0.0,0.1968759298324585,4.715007453901479
28,4,0.18430407345294952,5.998087406158447,0.0,0.34453287720680237,6.000918306676731
28,5,4.811653137207031,7.859838008880615,0.0,0.34453287720680237,9.215696362111691
28,6,-3.9625377655029297,8.320298194885254,0.0,0.34453287720680237,9.215696804628925
28,7,-0.4344310164451599,0.4739847183227539,0.0,0.836722731590271,0.6429555359844685
28,8,-0.26329153776168823,0.33824142813682556,0.0,1.0335986614227295,0.4286370230917458
29,0,-2.0273449420928955,4.256896495819092,0.0,0.0,4.715007453901479
29,1,2.896207094192505,3.720655679702759,0.0,0.0,4.715007340328898
29,2,-0.31594985723495483,0.5599709749221802,0.0,0.6398468017578125,0.6429555233778502
29,3,-0.3554435968399048,0.5357720255851746,0.0,0.738284707069397,0.6429555302928265
30,0,0.2764561176300049,2.9876959323883057,0.0,0.0,3.000459126431267
30,1,-0.4146841764450073,0.4913541078567505,0.0,0.14765694737434387,0.6429555392883533
30,2,-0.31594985723495483,0.5599709749221802,0.0,0.393751859664917,0.6429555233778502
30,3,-1.3164576292037964,1.098460078239441,0.0,-0.09843796491622925,1.7145481133449358
30,4,-1.5929138660430908,4.437783241271973,0.0,-0.049218982458114624,4.71500738929927
30,5,-1.1979764699935913,5.441982269287109,0.0,-0.049218982458114624,5.572281278066783
33,0,-0.23696239292621613,0.5976961255073547,0.0,-0.34453287720680237,0.6429555459810748
