frame_number,point_index,x,y,z,doppler,range
2,0,-0.6713934540748596,1.0967215299606323,0.0,-0.09843796491622925,1.2859110717517603
3,0,-0.31594985723495483,1.2464922666549683,0.0,0.24609491229057312,1.285911071232155
3,1,-0.7240517735481262,0.7899744510650635,0.0,-0.29531389474868774,1.0715925550850638
4,0,-0.03291144222021103,1.071087121963501,0.0,0.09843796491622925,1.0715926398893705
4,1,0.03291144222021103,1.071087121963501,0.0,0.24609491229057312,1.0715926398893705
4,2,0.06582288444042206,2.142174243927002,0.0,0.34453287720680237,2.143185279778741
4,3,-0.7240517735481262,2.017174243927002,0.0,0.34453287720680237,2.143185223246152
4,4,0.19746865332126617,1.2706587314605713,0.0,0.4429708421230316,1.2859111481286343
5,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
5,1,2.1721553802490234,2.3699233531951904,0.0,0.0,3.214777705528753
5,2,2.6724090576171875,1.3641791343688965,0.0,0.6890657544136047,3.000459111849694
5,3,0.09215203672647476,2.9990437030792236,0.0,0.6890657544136047,3.0004591533383653
5,4,0.4146841764450073,1.883763074874878,0.0,0.8859416842460632,1.9288665812999946
5,5,0.36860814690589905,1.6744561195373535,0.0,1.082817554473877,1.7145481218739511
6,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
6,1,2.1721553802490234,2.3699233531951904,0.0,0.0,3.214777705528753
6,2,0.8425329327583313,3.323979377746582,0.0,0.6890657544136047,3.42909618507077
6,3,0.7372162938117981,3.348912239074707,0.0,0.836722731590271,3.4290962437479022
6,4,0.7701277732849121,2.677589178085327,0.0,0.8859416842460632,2.786140806525118
6,5,0.5989882349967957,2.7209911346435547,0.0,1.082817554473877,2.7861406390333916
6,6,0.7372162938117981,3.348912239074707,0.0,2.5101680755615234,3.4290962437479022
7,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
7,1,2.1721553802490234,2.3699233531951904,0.0,0.0,3.214777705528753
7,2,1.0070902109146118,3.501462697982788,0.0,0.1968759298324585,3.643414843012657
7,3,1.5797492265701294,3.9846408367156982,0.0,0.9843796491622925,4.286370284573103
8,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
8,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
8,2,2.099749803543091,5.849804878234863,0.0,0.0,6.215236628713315
8,3,1.3756983280181885,3.8326311111450195,0.0,-0.34453287720680237,4.072051954952042
8,4,1.500761866569519,3.7854089736938477,0.0,-0.14765694737434387,4.072051973915747
9,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
9,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
9,2,-3.2911441326141357,4.228017807006836,0.0,-0.6890657544136047,5.357962698452402
9,3,-5.2658305168151855,0.989339292049408,0.0,-0.6890657544136047,5.3579626040702175
9,4,0.8293682932853699,4.423612117767334,0.0,-0.4429708421230316,4.500688384499096
9,5,0.7108871936798096,3.791667938232422,0.0,-0.14765694737434387,3.857733318408319
10,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
10,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
10,2,-3.0410172939300537,3.6032636165618896,0.0,-0.5906277894973755,4.7150074095827605
10,3,-2.1260793209075928,3.472951889038086,0.0,-0.29531389474868774,4.072052075104652
10,4,-3.7519047260284424,1.5826619863510132,0.0,-0.29531389474868774,4.0720520669847895
11,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
11,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
11,2,-0.44759562611579895,3.615816593170166,0.0,0.29531389474868774,3.6434148103067674
11,3,-0.3356967270374298,3.6279165744781494,0.0,0.393751859664917,3.643414739487794
12,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
12,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
12,2,-0.37519046664237976,4.054730415344238,0.0,-0.09843796491622925,4.072051893993614
13,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
13,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
13,2,-0.21063323318958282,3.422621011734009,0.0,-0.1968759298324585,3.4290962291669547
14,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
14,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
14,2,0.6318997144699097,3.3703713417053223,0.0,0.24609491229057312,3.429096124365091
14,3,0.7503809332847595,4.002316474914551,0.0,0.29531389474868774,4.072052149765489
14,4,-3.4557013511657715,2.8834571838378906,0.0,0.6398468017578125,4.500688520601629
14,5,-3.784815788269043,3.7924838066101074,0.0,0.6890657544136047,5.357962670132231
14,6,-3.3174731731414795,3.0414748191833496,0.0,0.787503719329834,4.50068853957256
14,7,-3.6202585697174072,3.9498724937438965,0.0,0.836722731590271,5.357962749818904
15,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
15,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
15,2,1.2637994289398193,3.1877126693725586,0.0,0.14765694737434387,3.4290962452323988
16,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
16,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
16,2,1.0136724710464478,4.604754447937012,0.0,-0.24609491229057312,4.715007465991237
16,3,1.4546858072280884,3.3404133319854736,0.0,-0.1968759298324585,3.6434148852768784
17,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
17,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
17,2,-4.1139302253723145,3.432687282562256,0.0,-0.787503719329834,5.357962661226424
17,3,0.8293682932853699,4.423612117767334,0.0,-0.5906277894973755,4.500688384499096
17,4,1.053166151046753,3.2633635997772217,0.0,-0.4429708421230316,3.429096225838753
17,5,0.8951912522315979,3.5317280292510986,0.0,-0.14765694737434387,3.643414641606116
18,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
18,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
18,2,-3.3306381702423096,3.633882999420166,0.0,-0.393751859664917,4.929326148121054
18,3,-0.26329153776168823,4.278276443481445,0.0,-0.24609491229057312,4.286370464706144
18,4,-3.686081647872925,2.187640905380249,0.0,-0.24609491229057312,4.286370334639611
18,5,-3.4820306301116943,3.4890856742858887,0.0,-0.24609491229057312,4.929326135644005
18,6,-3.3767142295837402,2.275831460952759,0.0,-0.14765694737434387,4.072052041285288
19,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
19,1,2.1721553802490234,2.3699233531951904,0.0,0.0,3.214777705528753
19,2,-0.19746865332126617,3.208707332611084,0.0,0.14765694737434387,3.2147778485296072
19,3,-2.488104820251465,3.750404119491577,0.0,-0.24609491229057312,4.500688464674929
19,4,-3.0410172939300537,3.317892551422119,0.0,-0.14765694737434387,4.50068852118918
20,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
20,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
20,2,-0.3554435968399048,3.8413233757019043,0.0,0.14765694737434387,3.8577331980385012
21,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
21,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
21,2,-2.896207094192505,3.720655679702759,0.0,0.29531389474868774,4.715007340328898
21,3,-0.09873432666063309,3.213261127471924,0.0,-0.24609491229057312,3.214777681362005
21,4,0.0,3.429096221923828,0.0,-0.14765694737434387,3.429096221923828
22,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
22,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
22,2,0.8951912522315979,3.5317280292510986,0.0,0.29531389474868774,3.643414641606116
22,3,0.5924059748649597,3.1597232818603516,0.0,0.393751859664917,3.214777761679033
22,4,-3.2911441326141357,2.746150255203247,0.0,0.6890657544136047,4.286370367314672
22,5,1.053166151046753,4.154974460601807,0.0,0.6890657544136047,4.286370458787236
22,6,-3.6202585697174072,3.9498724937438965,0.0,0.836722731590271,5.357962749818904
23,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
23,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
23,2,-3.0410172939300537,3.317892551422119,0.0,0.14765694737434387,4.50068852118918
23,3,1.3822804689407349,4.2831645011901855,0.0,0.14765694737434387,4.500688551663044
23,4,1.2506349086761475,3.875244617462158,0.0,0.6890657544136047,4.07205212638159
24,0,-1.5797492265701294,2.7998549938201904,0.0,0.0,3.214777691422656
24,1,2.073420763015747,2.456770658493042,0.0,0.0,3.2147777106570117
24,2,1.8167117834091187,4.582337379455566,0.0,0.14765694737434387,4.9293262788268795
