frame_number,point_index,x,y,z,doppler,range,aoa
1196,0,-0.09215203672647476,1.49739670753479,0.0,-0.29531389474868774,1.5002296149619454,93.52162670628151
1196,1,-0.06582288444042206,2.142174243927002,0.0,-0.24609491229057312,2.143185279778741,91.75998158576662
1198,0,-0.3554435968399048,1.895833969116211,0.0,-0.1968759298324585,1.9288666592041595,100.61891743405383
1199,0,-0.36860814690589905,1.6744561195373535,0.0,-0.14765694737434387,1.7145481218739511,102.41485324243178
1202,0,2.481522798538208,1.2667378187179565,0.0,0.14765694737434387,2.7861407180964903,27.04285420831238
1202,1,-0.6845580339431763,2.700733184814453,0.0,0.14765694737434387,2.7861405989996566,104.22327508667335
1202,2,-0.18430407345294952,1.488865613937378,0.0,-0.14765694737434387,1.5002295850490601,97.05664632449755
1203,0,0.4607602059841156,1.4277215003967285,0.0,-0.393751859664917,1.500229532476151,72.11385650567242
1203,1,0.6450642347335815,1.3544670343399048,0.0,-0.24609491229057312,1.5002295871119053,64.53389874356334
1203,2,0.7372162938117981,1.5479624271392822,0.0,-0.24609491229057312,1.7145482027917853,64.53389944104785
1204,0,-0.6318997144699097,2.4929845333099365,0.0,-0.1968759298324585,2.57182214246431,104.22327458747844
1204,1,2.2906363010406494,1.1692967414855957,0.0,-0.1968759298324585,2.5718222203904415,27.042861331217566
1204,2,0.5529122352600098,1.160971760749817,0.0,-0.049218982458114624,1.2859111046875482,64.53389769968877
1205,0,-0.04607601836323738,1.4995218515396118,0.0,-0.09843796491622925,1.5002295766691827,91.75998169715267
1209,0,0.47392478585243225,1.8697384595870972,0.0,-0.6890657544136047,1.9288666646257342,75.7767258475401
1209,1,0.47392478585243225,1.8697384595870972,0.0,-0.5906277894973755,1.9288666646257342,75.7767258475401
1210,0,0.0,2.1431851387023926,0.0,0.14765694737434387,2.1431851387023926,90.0
1212,0,-0.07898746430873871,1.2834829092025757,0.0,-0.049218982458114624,1.2859111157980676,93.5216268490126
1213,0,0.5529122352600098,1.3946242332458496,0.0,0.09843796491622925,1.5002295463884165,68.37367191617132
1215,0,0.47392478585243225,1.1953922510147095,0.0,0.14765694737434387,1.2859110919621497,68.37367222610051
1222,0,0.5989882349967957,1.3754642009735107,0.0,0.09843796491622925,1.5002295403784964,66.46779989005971
1223,0,0.5134184956550598,1.178969383239746,0.0,-0.1968759298324585,1.2859111004643409,66.46780075405236
1224,0,0.6911402940750122,1.3315457105636597,0.0,0.0,1.5002296108978037,62.56837997716306
1225,0,0.5134184956550598,1.178969383239746,0.0,0.09843796491622925,1.2859111004643409,66.46780075405236
1226,0,0.5529122352600098,1.3946242332458496,0.0,-0.09843796491622925,1.5002295463884165,68.37367191617132
1227,0,0.5134184956550598,1.178969383239746,0.0,-0.049218982458114624,1.2859111004643409,66.46780075405236
1228,0,-2.9488651752471924,0.5540303587913513,0.0,0.09843796491622925,3.0004592082293216,169.35935882688224
1228,1,0.5529122352600098,1.3946242332458496,0.0,0.1968759298324585,1.5002295463884165,68.37367191617132
1228,2,-0.6450642347335815,10.481776237487793,0.0,0.1968759298324585,10.501606589455548,93.52162682426686
1228,3,3.8703856468200684,9.762370109558105,0.0,0.1968759298324585,10.501607267990188,68.37367287498768
1229,0,0.47392478585243225,1.6477471590042114,0.0,-0.24609491229057312,1.7145481628264994,73.95371441154674
1230,0,0.5989882349967957,1.3754642009735107,0.0,-0.09843796491622925,1.5002295403784964,66.46779989005971
1231,0,0.5068362355232239,1.4120218753814697,0.0,0.049218982458114624,1.5002295644984323,70.2547238618398
1232,0,-0.11848119646310806,1.280441164970398,0.0,0.0,1.2859111053514078,95.28661302454424
1233,0,-0.039493732154369354,1.2853044271469116,0.0,-0.6890657544136047,1.2859110487599568,91.7599818152617
1234,0,-0.11848119646310806,1.280441164970398,0.0,0.049218982458114624,1.2859111053514078,95.28661302454424
