timestamp,frame_number,point_index,snr,noise
2025-10-10 01:03:30.533,1,0,25.700000000000003,60.5
2025-10-10 01:03:30.533,1,1,25.700000000000003,60.5
2025-10-10 01:03:30.533,1,2,24.8,57.7
2025-10-10 01:03:30.533,1,3,35.800000000000004,57.1
2025-10-10 01:03:30.533,1,4,25.400000000000002,63.6
2025-10-10 01:03:30.533,1,5,38.800000000000004,55.0
2025-10-10 01:03:30.533,1,6,36.6,55.900000000000006
2025-10-10 01:03:30.533,1,7,36.6,55.900000000000006
2025-10-10 01:03:30.533,1,8,29.8,57.1
2025-10-10 01:03:31.701,2,0,30.8,56.5
2025-10-10 01:03:31.701,2,1,34.1,57.2
2025-10-10 01:03:31.701,2,2,42.400000000000006,54.400000000000006
2025-10-10 01:03:31.701,2,3,42.400000000000006,54.400000000000006
2025-10-10 01:03:31.701,2,4,32.7,54.800000000000004
2025-10-10 01:03:32.700,3,0,37.7,56.0
2025-10-10 01:03:32.700,3,1,18.1,64.3
2025-10-10 01:03:32.700,3,2,18.1,64.3
2025-10-10 01:03:32.700,3,3,22.3,63.900000000000006
2025-10-10 01:03:32.700,3,4,20.400000000000002,61.5
2025-10-10 01:03:32.700,3,5,20.400000000000002,61.5
2025-10-10 01:03:33.700,4,0,37.5,56.1
2025-10-10 01:03:34.702,5,0,31.0,57.1
2025-10-10 01:03:34.702,5,1,32.0,54.6
2025-10-10 01:03:35.702,6,0,25.5,56.1
2025-10-10 01:03:36.704,7,0,34.300000000000004,55.5
2025-10-10 01:03:36.704,7,1,31.700000000000003,54.900000000000006
2025-10-10 01:03:36.704,7,2,31.700000000000003,54.900000000000006
2025-10-10 01:03:36.704,7,3,29.8,56.800000000000004
2025-10-10 01:03:36.704,7,4,29.8,56.800000000000004
2025-10-10 01:03:38.520,8,0,23.700000000000003,61.7
2025-10-10 01:03:38.520,8,1,34.4,56.300000000000004
2025-10-10 01:03:38.520,8,2,24.0,56.6
2025-10-10 01:03:38.520,8,3,24.0,56.6
2025-10-10 01:03:39.706,9,0,28.5,61.400000000000006
2025-10-10 01:03:39.706,9,1,28.5,61.400000000000006
2025-10-10 01:03:39.706,9,2,25.0,60.5
2025-10-10 01:03:39.706,9,3,33.1,55.800000000000004
2025-10-10 01:03:39.706,9,4,31.3,58.6
2025-10-10 01:03:39.706,9,5,31.3,58.6
2025-10-10 01:03:40.698,10,0,21.5,55.1
2025-10-10 01:03:40.698,10,1,33.0,53.6
2025-10-10 01:03:40.698,10,2,29.1,57.2
2025-10-10 01:03:40.698,10,3,27.900000000000002,60.300000000000004
2025-10-10 01:03:40.698,10,4,39.2,54.1
2025-10-10 01:03:40.698,10,5,34.2,56.1
2025-10-10 01:03:41.712,11,0,32.7,54.800000000000004
2025-10-10 01:03:41.712,11,1,31.5,54.300000000000004
2025-10-10 01:03:41.712,11,2,43.400000000000006,55.800000000000004
2025-10-10 01:03:41.712,11,3,18.7,63.900000000000006
2025-10-10 01:03:41.712,11,4,26.1,57.400000000000006
2025-10-10 01:03:42.713,12,0,16.5,64.9
2025-10-10 01:03:42.713,12,1,16.5,64.9
2025-10-10 01:03:42.713,12,2,46.400000000000006,56.300000000000004
2025-10-10 01:03:42.713,12,3,18.6,69.2
2025-10-10 01:03:44.512,13,0,34.6,54.900000000000006
2025-10-10 01:03:44.512,13,1,26.5,65.5
2025-10-10 01:03:44.512,13,2,15.8,68.4
2025-10-10 01:03:44.512,13,3,38.7,54.800000000000004
2025-10-10 01:03:45.717,14,0,31.400000000000002,56.5
2025-10-10 01:03:45.717,14,1,33.4,54.1
2025-10-10 01:03:45.717,14,2,29.6,62.6
2025-10-10 01:03:45.717,14,3,35.5,56.5
2025-10-10 01:03:45.717,14,4,25.1,61.400000000000006
