frame_number,point_index,x,y,z,doppler,range
1,0,-3.0805110931396484,4.643357753753662,0.0,-0.8859416842460632,5.572281384164002
1,1,2.0536739826202393,5.180033206939697,0.0,-0.8859416842460632,5.572281476369373
1,2,-4.146841526031494,4.913541316986084,0.0,-0.8859416842460632,6.429555421314023
1,3,1.5205086469650269,4.23606538772583,0.0,-0.738284707069397,4.5006884489580266
1,4,-3.4557013511657715,4.0946173667907715,0.0,-0.738284707069397,5.357962598681847
1,5,1.3822804689407349,4.2831645011901855,0.0,-0.5414087772369385,4.500688551663044
1,6,0.9478495717048645,5.0555572509765625,0.0,-0.34453287720680237,5.143644420883192
1,7,2.6855738162994385,4.386886119842529,0.0,-0.34453287720680237,5.143644287007041
1,8,3.936208724975586,3.944183111190796,0.0,-0.14765694737434387,5.572281358759322
2,0,0.5265830755233765,3.388423204421997,0.0,0.14765694737434387,3.429096316479473
2,1,-3.1792454719543457,3.7670483589172363,0.0,-0.6398468017578125,4.929326029931805
2,2,-3.001523733139038,2.7518107891082764,0.0,-0.34453287720680237,4.072051981452303
2,3,1.0005079507827759,3.94722580909729,0.0,-0.34453287720680237,4.072052031541752
2,4,0.5594944953918457,3.6001996994018555,0.0,-0.1968759298324585,3.643414877000283
3,0,0.0,3.429096221923828,0.0,0.738284707069397,3.429096221923828
3,1,-4.423297882080078,0.8310437798500061,0.0,0.738284707069397,4.500688604829431
3,2,2.626332998275757,3.654937982559204,0.0,0.738284707069397,4.500688466688854
3,3,4.963045597076416,2.533475637435913,0.0,0.787503719329834,5.572281436192981
3,4,-0.28962069749832153,4.706103801727295,0.0,0.836722731590271,4.7150072259808375
3,5,4.344310760498047,1.8325554132461548,0.0,0.836722731590271,4.715007457724421
4,0,-0.13164576888084412,4.284348487854004,0.0,0.6398468017578125,4.286370559557482
5,0,0.1513926386833191,4.927000522613525,0.0,0.5414087772369385,4.929325905322294
5,1,0.0,4.929326057434082,0.0,0.6398468017578125,4.929326057434082
6,0,0.15797492861747742,5.1412177085876465,0.0,-0.1968759298324585,5.143644195039827
7,0,0.9083558917045593,4.844909191131592,0.0,0.14765694737434387,4.929326069180833
7,1,-4.265323162078857,3.9104678630828857,0.0,0.49218982458114624,5.786600088581412
7,2,-2.1326615810394287,5.379265308380127,0.0,0.49218982458114624,5.786600096531947
7,3,-4.265323162078857,3.9104678630828857,0.0,0.5414087772369385,5.786600088581412
7,4,-2.3103833198547363,5.305362224578857,0.0,0.5414087772369385,5.786599987786551
8,0,1.8364585638046265,6.3850202560424805,0.0,0.14765694737434387,6.643874150421886
8,1,1.8101292848587036,5.042935371398926,0.0,0.24609491229057312,5.35796278337294
8,2,-3.7519044876098633,5.221340656280518,0.0,1.082817554473877,6.429555624852693
8,3,2.369623899459839,5.976961612701416,0.0,1.082817554473877,6.429555781280505
9,0,-3.7519044876098633,5.221340656280518,0.0,-0.836722731590271,6.429555624852693
9,1,2.369623899459839,5.976961612701416,0.0,-0.836722731590271,6.429555781280505
9,2,-4.252158164978027,5.917519569396973,0.0,-0.836722731590271,7.286829688841742
9,3,1.8825345039367676,5.24465274810791,0.0,-0.787503719329834,5.572281274913203
9,4,-3.626840829849243,5.047295570373535,0.0,-0.787503719329834,6.215236679304647
9,5,2.2906363010406494,5.777729034423828,0.0,-0.787503719329834,6.215236717846658
10,0,1.7377240657806396,4.841217994689941,0.0,-2.4117300510406494,5.143644291832678
10,1,1.1584827899932861,4.57047176361084,0.0,-1.230474591255188,4.715007371857928
10,2,-3.936208724975586,3.944183111190796,0.0,-1.132036566734314,5.572281358759322
10,3,-3.5939295291900635,4.258402347564697,0.0,-0.9843796491622925,5.5722814012331465
10,4,1.5929138660430908,4.437783241271973,0.0,-0.9351606369018555,4.71500738929927
10,5,1.4481035470962524,4.487124919891357,0.0,-0.6890657544136047,4.715007309625593
11,0,1.1848119497299194,3.6712841987609863,0.0,-1.230474591255188,3.8577334050313676
11,1,1.0005079507827759,3.94722580909729,0.0,-1.082817554473877,4.072052031541752
11,2,1.3032931089401245,3.630913496017456,0.0,-0.9351606369018555,3.8577332390112877
11,3,-2.6329152584075928,4.666424751281738,0.0,-0.787503719329834,5.357962552811503
11,4,-3.1792454719543457,3.7670483589172363,0.0,-0.6890657544136047,4.929326029931805
12,0,1.5205086469650269,4.23606538772583,0.0,-0.24609491229057312,4.5006884489580266
12,1,-2.9027891159057617,3.4394783973693848,0.0,-0.24609491229057312,4.5006884248292085
12,2,1.1848119497299194,2.988480806350708,0.0,-0.1968759298324585,3.2147778906402524
12,3,1.4481035470962524,4.034348487854004,0.0,-0.14765694737434387,4.286370446492304
13,0,1.1584827899932861,3.2274787425994873,0.0,0.14765694737434387,3.4290962962043214
13,1,-2.9027891159057617,3.4394783973693848,0.0,0.24609491229057312,4.5006884248292085
13,2,-3.2911441326141357,4.228017807006836,0.0,0.24609491229057312,5.357962698452402
13,3,1.3691160678863525,3.14391827583313,0.0,-0.14765694737434387,3.4290962267720264
14,0,1.513926386833191,4.691085338592529,0.0,0.836722731590271,4.929325994363488
14,1,1.2440524101257324,4.32533597946167,0.0,0.8859416842460632,4.5006885844685245
14,2,-3.501777410507202,4.873250961303711,0.0,0.9843796491622925,6.000918260115369
14,3,1.2440524101257324,4.32533597946167,0.0,1.0335986614227295,4.5006885844685245
14,4,-3.6202585697174072,3.9498724937438965,0.0,1.0335986614227295,5.357962749818904
14,5,1.3164576292037964,5.1937174797058105,0.0,1.0335986614227295,5.357962481064099
15,0,1.5797492265701294,4.895045280456543,0.0,0.6398468017578125,5.143644225310378
15,1,-4.0020318031311035,5.569429874420166,0.0,0.6398468017578125,6.858192741484933
15,2,1.8825345039367676,5.24465274810791,0.0,2.362511157989502,5.572281274913203
16,0,2.211648941040039,5.578496932983398,0.0,0.5414087772369385,6.000918185553666
16,1,-3.8769681453704834,5.395385265350342,0.0,0.5906277894973755,6.64387418316881
16,2,2.6526622772216797,6.091341972351074,0.0,0.5906277894973755,6.643874184624569
16,3,2.1326615810394287,5.379265308380127,0.0,0.6398468017578125,5.786600096531947
16,4,-4.212664604187012,5.411862850189209,0.0,0.738284707069397,6.8581923694679325
17,0,-3.916461706161499,6.397542476654053,0.0,-0.6398468017578125,7.5011480478938894
17,1,2.0536739826202393,5.180033206939697,0.0,-0.4429708421230316,5.572281476369373
17,2,-4.081018924713135,5.242742538452148,0.0,-0.4429708421230316,6.643874230323933
18,0,-3.8769681453704834,5.395385265350342,0.0,-1.0335986614227295,6.64387418316881
18,1,0.3554435968399048,5.7756733894348145,0.0,-0.6398468017578125,5.786600319009421
18,2,2.3103833198547363,5.305362224578857,0.0,-0.6398468017578125,5.786599987786551
18,3,1.2637994289398193,4.985969066619873,0.0,-0.5906277894973755,5.14364428492862
18,4,1.2637994289398193,4.985969066619873,0.0,-0.49218982458114624,5.14364428492862
18,5,1.4217743873596191,5.60921573638916,0.0,-0.14765694737434387,5.7866003478646775
18,6,4.265323162078857,3.9104678630828857,0.0,-0.14765694737434387,5.786600088581412
19,0,3.686081647872925,4.735379695892334,0.0,0.14765694737434387,6.000918161336226
19,1,-2.0536739826202393,5.180033206939697,0.0,-0.1968759298324585,5.572281476369373
19,2,0.0,5.572281360626221,0.0,-0.1968759298324585,5.572281360626221
20,0,0.9873433113098145,6.353293418884277,0.0,0.1968759298324585,6.429555511917329
20,1,3.949373245239258,5.0736212730407715,0.0,0.1968759298324585,6.4295553386267335
20,2,-0.5134184956550598,5.548578262329102,0.0,-0.14765694737434387,5.5722813357611205
21,0,0.15797492861747742,5.1412177085876465,0.0,-1.8211023807525635,5.143644195039827
21,1,0.3027852773666382,4.920018196105957,0.0,-0.49218982458114624,4.929326320523293
22,0,-1.5402555465698242,3.5369081497192383,0.0,0.0,3.857733325191034
22,1,0.6582288146018982,4.235528945922852,0.0,-0.8859416842460632,4.286370332125138
22,2,-5.47646427154541,4.1283345222473145,0.0,-0.787503719329834,6.8581926806624764
