timestamp_s,frame_number,point_index,x,y,z,doppler_mps,azimuth_deg,elevation_deg,snr_db,noise_db
0.0,1,0,-0.11562623083591461,0.048969291150569916,-0.0005400278023444116,0.0,157.04667747516848,-0.246408565860011,28.8,57.800000000000004
0.0,1,1,-0.16573092341423035,5.25292444229126,-1.2384717464447021,0.0,91.80709502141256,-13.259882297514737,11.8,71.2
0.0,1,2,1.449182152748108,3.878737211227417,4.205489158630371,0.0,69.51319794402619,45.445318058440314,13.4,68.60000000000001
0.0,1,3,3.622955322265625,3.901331663131714,-2.5465023517608643,0.0,47.118807827747766,-25.561600972978944,13.4,68.60000000000001
0.299384,2,0,-0.11562623083591461,0.048969849944114685,-0.0004867748939432204,0.0,157.04644269085253,-0.222109738582243,28.900000000000002,57.7
0.299384,2,1,-0.16573092341423035,5.251224040985107,-1.2456614971160889,0.0,91.80767978952463,-13.338277713846145,11.700000000000001,71.3
0.299384,2,2,1.449182152748108,3.857495069503784,4.224981784820557,0.0,69.40982547619406,45.71569780329567,12.9,68.9
0.299384,2,3,3.622955322265625,3.894554853439331,-2.556854724884033,0.0,47.06913472441713,-25.673060343325645,12.9,68.9
0.59094,3,0,-0.11562623083591461,0.04897007718682289,-0.0004633388889487833,0.0,157.04634721213046,-0.21141611162146665,28.900000000000002,57.7
0.59094,3,1,-0.16573092341423035,5.250900745391846,-1.2470238208770752,0.0,91.80779101370537,-13.353134874234698,11.700000000000001,71.3
0.59094,3,2,1.449182152748108,3.7996137142181396,4.277110576629639,0.0,69.12302405985001,46.4452939554081,13.9,68.4
0.59094,3,3,3.622955322265625,3.9547066688537598,-2.462794542312622,0.0,47.506818300156255,-24.664100112099508,13.9,68.4
0.89586,4,0,-0.11562623083591461,0.048969510942697525,-0.000519885215908289,0.0,157.04658512657363,-0.23721767709068406,29.0,57.6
0.89586,4,1,-0.16573092341423035,5.253107070922852,-1.2376961708068848,0.0,91.80703223790617,-13.251427539105054,11.700000000000001,71.3
0.89586,4,2,1.449182152748108,3.922715425491333,4.1644978523254395,0.0,69.72408549217003,44.88091782888249,12.8,68.9
0.89586,4,3,3.622955322265625,3.914473056793213,-2.526254653930664,0.0,47.214868824237,-25.343901859519576,12.8,68.9
1.190437,5,0,-0.11562623083591461,0.04896970093250275,-0.0005017127841711044,0.0,157.04650529992375,-0.2289257591298832,29.0,57.6
1.190437,5,1,-0.16573092341423035,5.252353668212891,-1.2408891916275024,0.0,91.8072912684786,-13.286239231037145,11.600000000000001,71.4
1.190437,5,2,1.449182152748108,3.9250545501708984,4.162293434143066,0.0,69.7351858086164,44.85072187862694,12.700000000000001,68.60000000000001
1.190437,5,3,3.622955322265625,3.87510347366333,-2.586239814758301,0.0,46.92604286720614,-25.99000799180325,12.700000000000001,68.60000000000001
1.500815,6,0,-0.11562623083591461,0.0489700585603714,-0.00046563250361941755,0.0,157.04635503825017,-0.2124626638694065,29.0,57.6
1.500815,6,1,-0.16573092341423035,5.251460552215576,-1.2446643114089966,0.0,91.80759843064754,-13.32740298217545,11.700000000000001,71.3
1.500815,6,2,1.449182152748108,3.808715343475342,4.269007682800293,0.0,69.16862728997742,46.331248632029265,13.0,69.0
1.500815,6,3,3.622955322265625,3.942204713821411,-2.482757568359375,0.0,47.41644540364807,-24.877544399724357,13.0,69.0
1.794356,7,0,-0.11562623083591461,0.04896978661417961,-0.0004930970026180148,0.0,157.04646929970073,-0.22499445823542452,29.1,57.5
1.794356,7,1,-0.16573092341423035,5.251324653625488,-1.245238184928894,0.0,91.80764517830109,-13.333660796932971,11.600000000000001,71.4
1.794356,7,2,1.449182152748108,3.8582377433776855,4.224303722381592,0.0,69.4134564460715,45.706269671301804,13.200000000000001,68.3
1.794356,7,3,3.622955322265625,3.879338026046753,-2.5798838138580322,0.0,46.95725916380248,-25.921379823181525,13.200000000000001,68.3
