timestamp_s,frame_number,point_index,snr,noise
0.0,1,0,15.700000000000001,87.7
0.0,1,1,15.700000000000001,87.7
0.0,1,2,17.900000000000002,91.2
0.0,1,3,16.900000000000002,90.0
1.007554,2,0,18.0,91.0
1.007554,2,1,17.2,89.80000000000001
2.006495,3,0,16.400000000000002,87.5
2.006495,3,1,16.400000000000002,87.5
2.006495,3,2,18.400000000000002,90.9
2.006495,3,3,17.8,89.30000000000001
2.006495,3,4,39.7,56.400000000000006
2.006495,3,5,17.0,63.2
3.000658,4,0,18.7,90.2
3.000658,4,1,19.400000000000002,88.5
3.000658,4,2,48.1,57.1
3.000658,4,3,25.400000000000002,68.0
3.000658,4,4,25.400000000000002,68.0
3.000658,4,5,41.900000000000006,55.6
4.00483,5,0,19.0,90.10000000000001
4.00483,5,1,19.900000000000002,89.10000000000001
4.00483,5,2,30.200000000000003,56.900000000000006
4.00483,5,3,47.0,56.1
4.00483,5,4,23.700000000000003,65.4
5.007166,6,0,20.6,82.7
5.007166,6,1,20.6,82.7
5.007166,6,2,19.200000000000003,89.9
5.007166,6,3,20.3,87.60000000000001
5.007166,6,4,32.800000000000004,56.900000000000006
5.007166,6,5,36.6,57.800000000000004
5.007166,6,6,23.700000000000003,61.800000000000004
5.007166,6,7,23.700000000000003,61.800000000000004
6.009229,7,0,19.3,89.80000000000001
6.009229,7,1,16.6,91.0
6.009229,7,2,36.6,55.800000000000004
6.009229,7,3,36.7,54.7
6.009229,7,4,19.0,65.3
6.009229,7,5,33.6,59.300000000000004
6.009229,7,6,33.6,59.300000000000004
7.012194,8,0,18.400000000000002,90.4
7.012194,8,1,18.3,89.80000000000001
7.012194,8,2,38.300000000000004,58.6
7.012194,8,3,15.700000000000001,71.5
7.012194,8,4,15.3,68.9
7.012194,8,5,15.3,68.9
7.012194,8,6,32.9,57.0
8.004988,9,0,18.8,90.30000000000001
8.004988,9,1,18.400000000000002,89.5
8.004988,9,2,21.1,68.7
8.004988,9,3,29.200000000000003,56.5
8.004988,9,4,39.800000000000004,55.7
8.004988,9,5,39.800000000000004,55.7
8.994321,10,0,19.6,89.9
8.994321,10,1,18.1,89.60000000000001
8.994321,10,2,39.5,57.0
8.994321,10,3,22.6,55.900000000000006
10.002163,11,0,19.0,90.10000000000001
10.002163,11,1,18.2,88.9
10.002163,11,2,16.900000000000002,67.2
10.002163,11,3,16.900000000000002,67.2
10.002163,11,4,31.900000000000002,54.0
10.002163,11,5,19.200000000000003,55.800000000000004
10.002163,11,6,27.0,55.0
10.991768,12,0,19.400000000000002,89.7
10.991768,12,1,18.7,89.10000000000001
10.991768,12,2,18.7,66.9
10.991768,12,3,26.700000000000003,55.800000000000004
12.000165,13,0,20.400000000000002,82.9
12.000165,13,1,20.400000000000002,82.9
12.000165,13,2,18.5,90.2
12.000165,13,3,16.7,90.60000000000001
12.000165,13,4,22.700000000000003,56.5
12.000165,13,5,28.700000000000003,58.400000000000006
13.002694,14,0,22.0,82.7
13.002694,14,1,22.0,82.7
13.002694,14,2,18.900000000000002,89.9
13.002694,14,3,16.400000000000002,90.4
13.002694,14,4,16.400000000000002,65.8
13.002694,14,5,16.400000000000002,65.8
13.002694,14,6,34.300000000000004,55.7
14.010889,15,0,23.900000000000002,82.80000000000001
14.010889,15,1,18.900000000000002,89.80000000000001
14.010889,15,2,16.5,89.9
14.010889,15,3,31.3,55.900000000000006
15.006729,16,0,20.5,82.80000000000001
15.006729,16,1,20.5,82.80000000000001
15.006729,16,2,18.5,90.10000000000001
15.006729,16,3,15.5,90.9
16.008461,17,0,23.0,82.60000000000001
16.008461,17,1,23.0,82.60000000000001
16.008461,17,2,18.6,90.10000000000001
16.008461,17,3,15.700000000000001,90.4
17.010083,18,0,20.3,83.10000000000001
17.010083,18,1,20.3,83.10000000000001
17.010083,18,2,18.3,90.4
17.010083,18,3,16.1,90.0
18.004413,19,0,23.1,83.0
18.004413,19,1,18.5,90.2
18.004413,19,2,16.2,90.30000000000001
