timestamp,frame_number,point_index,snr,noise
2025-10-10 01:12:51.762,1,0,26.5,54.900000000000006
2025-10-10 01:12:53.564,2,0,24.5,57.1
2025-10-10 01:12:55.776,4,0,26.0,55.300000000000004
2025-10-10 01:12:56.777,5,0,26.6,55.5
2025-10-10 01:12:56.777,5,1,23.1,56.6
2025-10-10 01:12:56.777,5,2,23.1,56.6
2025-10-10 01:12:57.779,6,0,32.1,56.7
2025-10-10 01:12:57.779,6,1,28.200000000000003,59.0
2025-10-10 01:12:57.779,6,2,28.200000000000003,59.0
2025-10-10 01:12:59.774,8,0,16.1,86.30000000000001
2025-10-10 01:13:00.777,9,0,15.4,92.9
2025-10-10 01:13:00.777,9,1,31.700000000000003,56.400000000000006
2025-10-10 01:13:04.771,13,0,33.800000000000004,56.1
2025-10-10 01:13:06.767,15,0,15.100000000000001,87.0
2025-10-10 01:13:08.772,17,0,24.6,56.400000000000006
2025-10-10 01:13:09.764,18,0,31.8,56.300000000000004
2025-10-10 01:13:11.783,20,0,15.3,92.80000000000001
2025-10-10 01:13:11.783,20,1,23.400000000000002,59.2
2025-10-10 01:13:11.783,20,2,16.400000000000002,59.900000000000006
2025-10-10 01:13:12.775,21,0,15.100000000000001,92.60000000000001
2025-10-10 01:13:12.775,21,1,30.3,55.400000000000006
2025-10-10 01:13:13.779,22,0,23.0,61.300000000000004
2025-10-10 01:13:13.779,22,1,23.0,61.300000000000004
2025-10-10 01:13:13.779,22,2,37.300000000000004,54.7
2025-10-10 01:13:13.779,22,3,22.3,62.6
2025-10-10 01:13:14.778,23,0,15.100000000000001,86.9
2025-10-10 01:13:14.778,23,1,15.100000000000001,86.9
2025-10-10 01:13:15.774,24,0,28.1,54.7
2025-10-10 01:13:18.772,27,0,15.8,58.300000000000004
2025-10-10 01:13:19.775,28,0,15.3,92.60000000000001
2025-10-10 01:13:21.787,30,0,21.6,69.9
2025-10-10 01:13:22.778,31,0,18.8,63.6
2025-10-10 01:13:22.778,31,1,18.8,63.6
2025-10-10 01:13:22.778,31,2,35.1,56.5
2025-10-10 01:13:22.778,31,3,28.8,62.5
2025-10-10 01:13:22.778,31,4,28.8,62.5
2025-10-10 01:13:22.778,31,5,38.6,53.6
