timestamp,frame_number,point_index,snr,noise
2025-10-10 01:18:34.668,1,0,16.1,85.2
2025-10-10 01:18:34.668,1,1,16.1,85.2
2025-10-10 01:18:34.668,1,2,16.1,91.10000000000001
2025-10-10 01:18:34.668,1,3,40.7,54.5
2025-10-10 01:18:34.668,1,4,28.6,59.400000000000006
2025-10-10 01:18:34.668,1,5,28.6,59.400000000000006
2025-10-10 01:18:34.668,1,6,29.400000000000002,58.800000000000004
2025-10-10 01:18:34.668,1,7,36.1,55.5
2025-10-10 01:18:34.668,1,8,32.4,59.0
2025-10-10 01:18:35.695,2,0,15.200000000000001,86.10000000000001
2025-10-10 01:18:35.695,2,1,15.200000000000001,86.10000000000001
2025-10-10 01:18:35.695,2,2,15.100000000000001,92.10000000000001
2025-10-10 01:18:35.695,2,3,40.6,54.300000000000004
2025-10-10 01:18:36.672,3,0,15.8,85.7
2025-10-10 01:18:36.672,3,1,30.0,56.0
2025-10-10 01:18:36.672,3,2,19.5,55.2
2025-10-10 01:18:36.672,3,3,30.1,56.300000000000004
2025-10-10 01:18:37.677,4,0,16.0,85.7
2025-10-10 01:18:38.669,5,0,16.3,85.9
2025-10-10 01:18:38.669,5,1,16.3,85.9
2025-10-10 01:18:38.669,5,2,25.5,59.7
2025-10-10 01:18:38.669,5,3,37.7,56.1
2025-10-10 01:18:39.671,6,0,15.600000000000001,91.60000000000001
2025-10-10 01:18:39.671,6,1,39.5,56.7
2025-10-10 01:18:40.685,7,0,15.200000000000001,91.9
2025-10-10 01:18:40.685,7,1,38.1,56.7
2025-10-10 01:18:40.685,7,2,20.200000000000003,63.7
2025-10-10 01:18:40.685,7,3,20.200000000000003,63.7
2025-10-10 01:18:40.685,7,4,36.4,56.800000000000004
2025-10-10 01:18:40.685,7,5,18.6,64.9
2025-10-10 01:18:40.685,7,6,34.9,57.300000000000004
2025-10-10 01:18:41.687,8,0,15.0,91.9
2025-10-10 01:18:41.687,8,1,36.9,56.300000000000004
2025-10-10 01:18:42.683,9,0,15.100000000000001,92.2
2025-10-10 01:18:42.683,9,1,16.0,85.9
2025-10-10 01:18:42.683,9,2,16.0,85.9
2025-10-10 01:18:42.683,9,3,34.9,55.0
2025-10-10 01:18:42.683,9,4,29.0,57.5
2025-10-10 01:18:42.683,9,5,23.700000000000003,62.5
2025-10-10 01:18:43.682,10,0,41.6,55.5
2025-10-10 01:18:43.682,10,1,17.5,68.9
2025-10-10 01:18:43.682,10,2,15.700000000000001,61.6
2025-10-10 01:18:43.682,10,3,15.700000000000001,61.6
2025-10-10 01:18:44.685,11,0,33.2,58.1
2025-10-10 01:18:44.685,11,1,30.400000000000002,60.800000000000004
2025-10-10 01:18:44.685,11,2,30.400000000000002,60.800000000000004
2025-10-10 01:18:44.685,11,3,36.800000000000004,56.400000000000006
2025-10-10 01:18:45.681,12,0,15.100000000000001,92.10000000000001
2025-10-10 01:18:45.681,12,1,15.4,86.5
2025-10-10 01:18:45.681,12,2,15.4,86.5
2025-10-10 01:18:45.681,12,3,32.4,56.1
2025-10-10 01:18:45.681,12,4,24.400000000000002,64.10000000000001
2025-10-10 01:18:46.677,13,0,15.3,92.0
