frame_number,point_index,x,y,z,doppler,range,aoa
1,0,-2.764561176300049,1.1661717891693115,0.0,0.0,3.000459154756129,157.12857729775178
1,1,0.5529122352600098,2.9490749835968018,0.0,0.0,3.000459164657419,79.38108278349081
1,2,2.0141804218292236,3.2901644706726074,0.0,0.0,3.857733144705127,58.52576985028165
1,3,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
2,0,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
2,1,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
3,0,-2.764561176300049,1.1661717891693115,0.0,0.0,3.000459154756129,157.12857729775178
3,1,0.6450642347335815,2.930298089981079,0.0,0.0,3.000459092052278,77.58514668501336
3,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
3,3,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
3,4,-1.1979764699935913,2.5154387950897217,0.0,0.14765694737434387,2.7861406917994533,115.46610173822494
3,5,-2.6855738162994385,4.386886119842529,0.0,0.1968759298324585,5.143644287007041,121.47422847028821
4,0,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
4,1,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
4,2,0.4936716556549072,3.1766467094421387,0.0,0.09843796491622925,3.2147777559586643,81.1665221958873
4,3,2.876460313796997,2.8822879791259766,0.0,-0.29531389474868774,4.0720520541200385,45.05798143916024
4,4,-1.125571370124817,3.9133996963500977,0.0,-0.29531389474868774,4.072052073910363,106.04628488541576
4,5,-1.1058244705200195,2.789248466491699,0.0,-0.1968759298324585,3.000459092776833,111.6263280838287
5,0,2.0141804218292236,3.2901644706726074,0.0,0.0,3.857733144705127,58.52576985028165
5,1,1.0202547311782837,6.565070152282715,0.0,0.0,6.643874308028792,81.16652277794425
5,2,-2.738232135772705,2.0641672611236572,0.0,0.1968759298324585,3.4290963403312382,142.98984048172287
5,3,0.09873432666063309,3.213261127471924,0.0,0.34453287720680237,3.214777681362005,88.24001828372782
5,4,0.37519046664237976,4.054730415344238,0.0,0.34453287720680237,4.072051893993614,84.71338689614767
6,0,-2.863295555114746,1.4616204500198364,0.0,0.0,3.2147777179543926,152.9571476870657
6,1,-1.7772178649902344,2.6788601875305176,0.0,0.0,3.2147776352302326,123.56121653231493
6,2,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
6,3,1.2243056297302246,6.530095100402832,0.0,0.0,6.6438743437315395,79.38108385702472
6,4,-0.21063323318958282,3.422621011734009,0.0,0.1968759298324585,3.4290962291669547,93.52162684774224
6,5,0.0,4.072052001953125,0.0,0.1968759298324585,4.072052001953125,90.0
6,6,2.349876880645752,3.8385252952575684,0.0,0.29531389474868774,4.50068859137417,58.525773398581336
6,7,-0.2764561176300049,4.492189884185791,0.0,0.29531389474868774,4.500688607375121,93.52162698738815
7,0,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
7,1,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
7,2,-0.37519046664237976,4.054730415344238,0.0,0.24609491229057312,4.072051893993614,95.28661310385233
7,3,-0.3554435968399048,3.8413233757019043,0.0,0.393751859664917,3.8577331980385012,95.28661329786291
7,4,3.0410172939300537,3.6032636165618896,0.0,-0.1968759298324585,4.7150074095827605,49.836908270651364
7,5,-0.783292293548584,3.5582194328308105,0.0,-0.14765694737434387,3.643414929610326,102.41485235181673
7,6,2.9093716144561768,2.1931777000427246,0.0,-0.14765694737434387,3.6434148288340755,37.01015961327226
8,0,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
8,1,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
8,2,-0.15797492861747742,2.5669658184051514,0.0,0.14765694737434387,2.571822231596135,93.5216268490126
8,3,-0.3554435968399048,3.8413233757019043,0.0,0.14765694737434387,3.8577331980385012,95.28661329786291
8,4,0.15797492861747742,5.1412177085876465,0.0,0.24609491229057312,5.143644195039827,88.2400181847383
8,5,2.6855738162994385,4.386886119842529,0.0,0.24609491229057312,5.143644287007041,58.5257715297118
8,6,2.9027891159057617,3.4394783973693848,0.0,-0.1968759298324585,4.5006884248292085,49.836905248299395
9,0,2.1326615810394287,3.214632272720337,0.0,0.0,3.857733281093538,56.43878208876306
9,1,1.1848119497299194,6.319446563720703,0.0,0.0,6.429555523358066,79.38108291398575
9,2,-3.3306381702423096,3.633882999420166,0.0,0.14765694737434387,4.929326148121054,132.5068377274244
9,3,-0.7503809332847595,4.002316474914551,0.0,0.1968759298324585,4.072052149765489,100.61891670139761
9,4,2.0141804218292236,3.036041498184204,0.0,-0.24609491229057312,3.643414710182844,56.43878076198203
