accuracy,loss,val_accuracy,val_loss,learning_rate
0.44944649934768677,1.1520134210586548,0.14193548262119293,1.4401885271072388,0.0010000000474974513
0.5143911242485046,0.9029049277305603,0.2086021453142166,3.9309463500976562,0.0010000000474974513
0.5675276517868042,0.806010365486145,0.29784947633743286,5.745238304138184,0.0010000000474974513
0.6095941066741943,0.7088996171951294,0.29784947633743286,7.168746471405029,0.0010000000474974513
0.6369003653526306,0.6424109935760498,0.27634409070014954,10.442838668823242,0.0010000000474974513
0.6922509074211121,0.5373194217681885,0.27849462628364563,10.705029487609863,0.0005000000237487257
0.7343173623085022,0.47191354632377625,0.27849462628364563,9.86327838897705,0.0005000000237487257
0.7439114451408386,0.41594699025154114,0.2795698940753937,9.125840187072754,0.0005000000237487257
0.7867158651351929,0.384447306394577,0.28172042965888977,7.424378395080566,0.0005000000237487257
0.8405904173851013,0.33923304080963135,0.28817203640937805,5.709327697753906,0.0002500000118743628
0.8656826615333557,0.2989080250263214,0.3172042965888977,4.425848007202148,0.0002500000118743628
0.9121771454811096,0.24890314042568207,0.28387096524238586,8.683308601379395,0.0002500000118743628
0.9291512966156006,0.2106381058692932,0.44516128301620483,1.927152156829834,0.0002500000118743628
0.9616236090660095,0.17118437588214874,0.4741935431957245,1.8458068370819092,0.0001250000059371814
0.9630996584892273,0.1562846451997757,0.5354838967323303,1.5929383039474487,0.0001250000059371814
0.9793357849121094,0.13026505708694458,0.5322580933570862,1.5756981372833252,0.0001250000059371814
0.9800738096237183,0.11451232433319092,0.463440865278244,2.6802356243133545,0.0001250000059371814
0.9793357849121094,0.10914329439401627,0.5053763389587402,2.0198981761932373,6.25000029685907e-05
0.9837638139724731,0.09823372960090637,0.5483871102333069,1.7750145196914673,6.25000029685907e-05
0.9859778881072998,0.09086273610591888,0.5548387169837952,1.9263554811477661,6.25000029685907e-05
0.9815497994422913,0.09905237704515457,0.5709677338600159,1.8197025060653687,6.25000029685907e-05
0.9904059171676636,0.08523485064506531,0.5849462151527405,1.6895780563354492,3.125000148429535e-05
0.9867158532142639,0.08729755133390427,0.5881720185279846,1.6701210737228394,3.125000148429535e-05
0.9896678924560547,0.0796983391046524,0.5408602356910706,2.0647671222686768,3.125000148429535e-05
0.9918819069862366,0.07663661986589432,0.5365591645240784,2.1287589073181152,3.125000148429535e-05
0.9904059171676636,0.07888719439506531,0.5569892525672913,1.7760869264602661,1.5625000742147677e-05
0.9904059171676636,0.07299020886421204,0.5806451439857483,1.7385815382003784,1.5625000742147677e-05
0.9926199316978455,0.06860625743865967,0.5720430016517639,1.8041716814041138,1.5625000742147677e-05
0.9926199316978455,0.07380114495754242,0.5709677338600159,1.8195210695266724,1.5625000742147677e-05
0.9940959215164185,0.0681980773806572,0.5806451439857483,1.7612556219100952,9.999999747378752e-06
0.9940959215164185,0.0671553984284401,0.5795698761940002,1.7101466655731201,9.999999747378752e-06
0.9904059171676636,0.06933248043060303,0.5817204117774963,1.731965184211731,9.999999747378752e-06
0.9940959215164185,0.07109364867210388,0.5870967507362366,1.6741678714752197,9.999999747378752e-06
