frame_number,point_index,x,y,z,doppler,range,aoa
52,0,-1.62582528591156,2.2625808715820312,0.0,0.0,2.7861407108684064,125.69993315896023
52,1,1.3691160678863525,2.4265410900115967,0.0,0.0,2.7861407841060823,60.567205724339374
52,2,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
53,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
54,0,-1.7903825044631958,3.1731691360473633,0.0,0.0,3.6434148649654867,119.43279350597027
55,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
56,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
57,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
57,1,3.672916889190674,1.1797404289245605,0.0,0.14765694737434387,3.857733266380816,17.807011564077673
57,2,-2.488105058670044,2.948124647140503,0.0,0.14765694737434387,3.8577332357301195,130.16309297508346
57,3,1.0268369913101196,2.5900166034698486,0.0,0.1968759298324585,2.7861407381846863,68.3736735324457
58,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
59,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
59,1,1.290128469467163,2.7089340686798096,0.0,0.24609491229057312,3.0004591742238107,64.53389874356334
59,2,-3.791398286819458,3.475971221923828,0.0,0.24609491229057312,5.143644321387333,137.48526013611644
59,3,3.672916889190674,1.1797404289245605,0.0,0.29531389474868774,3.857733266380816,17.807011564077673
59,4,1.3032931089401245,3.630913496017456,0.0,0.29531389474868774,3.8577332390112877,70.25472532677975
59,5,1.1979764699935913,2.7509284019470215,0.0,0.393751859664917,3.000459080756993,66.46779989005971
59,6,3.8769681453704834,1.245281457901001,0.0,0.393751859664917,4.072052051436657,17.807008776681293
60,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
61,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
62,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
63,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
64,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
65,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
66,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
67,0,1.1979764699935913,2.7509284019470215,0.0,0.0,3.000459080756993,66.46779989005971
67,1,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
68,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
69,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
69,1,3.7519047260284424,1.5826619863510132,0.0,-0.14765694737434387,4.0720520669847895,22.87142474462669
69,2,1.2506349086761475,3.875244617462158,0.0,-0.14765694737434387,4.07205212638159,72.11385800551749
70,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
71,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
72,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
73,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
74,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
75,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
76,0,1.3822805881500244,2.6630914211273193,0.0,0.0,3.0004592217956074,62.56837997716306
76,1,-2.764561176300049,1.1661717891693115,0.0,0.0,3.000459154756129,157.12857729775178
76,2,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
77,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
78,0,1.290128469467163,2.7089340686798096,0.0,0.0,3.0004591742238107,64.53389874356334
78,1,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
79,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
80,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
81,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
82,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
83,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
83,1,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
84,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
85,0,-1.902281403541565,3.107377767562866,0.0,0.0,3.6434147620884514,121.47422698843815
86,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
87,0,-1.7903825044631958,2.924590826034546,0.0,0.0,3.429096238371465,121.47422721071564
